13 -0.018669151629786863
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init         0.50415          13.915     0.00921094        1.17896        -1080.48       0.593114        75.9163       0.0915969      0.0726109        9.29392
  accept        0.501343          13.902     0.00894947         1.1455        -1081.83      0.0706843        9.04732        0.120901       0.071358        9.13354
       1        0.489624         13.9146     0.00878986        1.12507        -1081.86      0.0713374         9.1309        0.150096      0.0717515        9.18391
   total        0.489624         13.9146     0.00878986        1.12507        -1081.86      0.0713374         9.1309        0.150096      0.0717515        9.18391

    mode      occupation             +/-         std dev
     -14       0.0250765     0.000143066       0.0183119
     -13       0.0409586     0.000202454       0.0259134
     -12       0.0693719     0.000286515       0.0366728
     -11        0.119314     0.000408926        0.052341
     -10        0.205775     0.000581773       0.0744647
      -9        0.361352     0.000847872        0.108524
      -8        0.626464      0.00120993        0.154866
      -7         1.07919      0.00175973        0.225239
      -6         1.84166      0.00245945          0.3148
      -5         3.05257      0.00344751        0.441267
      -4         4.90418       0.0046164        0.590881
      -3         7.44534      0.00600056        0.768048
      -2          10.362      0.00745604        0.954344
      -1         12.8984      0.00837473         1.07193
       0         13.9146      0.00878986         1.12507
       1         12.8963      0.00842684          1.0786
       2         10.3642       0.0073997        0.947133
       3         7.44342      0.00599048        0.766758
       4         4.90672      0.00461506         0.59071
       5         3.06221      0.00341762        0.437442
       6         1.84187      0.00249208        0.318977
       7         1.08507      0.00174935         0.22391
       8        0.629408      0.00122318        0.156562
       9        0.361516     0.000861214        0.110232
      10        0.207669     0.000595167       0.0761791
      11        0.119045     0.000411032       0.0526105
      12       0.0699039     0.000288462       0.0369221
      13         0.04131      0.00020169       0.0258155
      14       0.0251445     0.000143306       0.0183426
