14 -0.018669151629786863
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.497253         13.7455     0.00897541        1.14882        -1081.35       0.891134        114.062      -0.0765684      0.0738142        9.44793
  accept        0.489563         13.7674     0.00885957        1.13399         -1083.9      0.0735288        9.41139       0.0121461      0.0716216        9.16728
       1        0.498535          13.756     0.00881346        1.12809        -1083.82      0.0734416        9.40023      -0.0355282      0.0720098        9.21697
   total        0.498535          13.756     0.00881346        1.12809        -1083.82      0.0734416        9.40023      -0.0355282      0.0720098        9.21697

    mode      occupation             +/-         std dev
     -15       0.0177098     0.000111126       0.0142237
     -14       0.0278592      0.00015167       0.0194132
     -13        0.045255      0.00021375       0.0273592
     -12       0.0755726     0.000302026       0.0386582
     -11        0.128713     0.000425006       0.0543992
     -10        0.220624     0.000610336       0.0781206
      -9        0.378311     0.000866019        0.110847
      -8        0.651419      0.00124837        0.159786
      -7         1.11574       0.0017738        0.227039
      -6         1.87418      0.00248205        0.317693
      -5         3.10106      0.00342296        0.438125
      -4         4.94849      0.00461656        0.590902
      -3         7.44308      0.00590187        0.755416
      -2         10.3127      0.00738935        0.945808
      -1         12.7845      0.00846459         1.08343
       0          13.756      0.00881346         1.12809
       1         12.7876      0.00843156         1.07921
       2          10.312      0.00735934        0.941967
       3          7.4402      0.00594526         0.76097
       4         4.94022      0.00462422        0.591882
       5         3.10326      0.00343947        0.440238
       6         1.87643      0.00248889        0.318568
       7         1.11173      0.00175623         0.22479
       8         0.65359      0.00124358        0.159173
       9        0.379716      0.00086801        0.111102
      10        0.220094     0.000608317       0.0778622
      11        0.128073     0.000424217       0.0542982
      12       0.0753278     0.000299968       0.0383947
      13       0.0450828     0.000212544       0.0272047
      14       0.0276883     0.000152193       0.0194801
      15       0.0175755     0.000109388       0.0140013
