12 -0.01884362968240169
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.499268         13.9663     0.00927321        1.18694        -1096.75       0.361304        46.2455       -0.204679      0.0722685        9.25008
  accept        0.506042         13.9723     0.00891408        1.14097         -1097.6      0.0681273        8.72003       0.0143167      0.0719779        9.21288
       1        0.497681         13.9796     0.00893632        1.14381        -1097.55      0.0684392        8.75995      -0.0583136       0.072127        9.23197
   total        0.497681         13.9796     0.00893632        1.14381        -1097.55      0.0684392        8.75995      -0.0583136       0.072127        9.23197

    mode      occupation             +/-         std dev
     -13        0.038242     0.000193383       0.0247523
     -12       0.0651567      0.00028015       0.0358582
     -11        0.113279     0.000401513       0.0513921
     -10        0.197974     0.000572604       0.0732911
      -9        0.350677     0.000827455        0.105911
      -8        0.613063      0.00121617        0.155666
      -7         1.06386      0.00173855        0.222527
      -6         1.82172      0.00244243        0.312622
      -5         3.04824      0.00341409         0.43699
      -4         4.89533      0.00461333        0.590488
      -3         7.45345      0.00596835        0.763925
      -2         10.4125       0.0074289         0.95087
      -1         12.9454      0.00855376         1.09485
       0         13.9796      0.00893632         1.14381
       1         12.9517      0.00844168          1.0805
       2         10.3921      0.00740317        0.947577
       3         7.44926      0.00600029        0.768014
       4         4.90199      0.00464646        0.594729
       5         3.04632      0.00343808        0.440061
       6         1.82031      0.00247069        0.316238
       7         1.06445      0.00172257        0.220483
       8        0.611017      0.00120598         0.15436
       9        0.349157     0.000827379        0.105901
      10        0.198716     0.000584029       0.0747535
      11        0.112788     0.000398365       0.0509892
      12       0.0653249     0.000278145       0.0356015
      13       0.0383894     0.000192722       0.0246677
