13 -0.01884362968240169
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.496521         13.7957     0.00884611        1.13227         -1101.1       0.434368        55.5975        0.155391      0.0723023        9.25442
  accept        0.499939         13.8002     0.00880524        1.12704        -1102.14      0.0708142        9.06394        0.225719      0.0713047        9.12673
  accept          0.4953         13.8161     0.00878383         1.1243        -1102.18      0.0708555        9.06922       0.0203934      0.0723898        9.26562
       1        0.500183         13.8143     0.00877488        1.12315        -1102.06      0.0707782        9.05933       -0.031134      0.0728373        9.32289
   total        0.500183         13.8143     0.00877488        1.12315        -1102.06      0.0707782        9.05933       -0.031134      0.0728373        9.32289

    mode      occupation             +/-         std dev
     -14       0.0261413     0.000145957        0.018682
     -13       0.0431221     0.000206287        0.026404
     -12       0.0728396     0.000296209       0.0379135
     -11        0.124341     0.000419418       0.0536838
     -10        0.215113     0.000605326       0.0774793
      -9        0.372198     0.000860285        0.110113
      -8        0.642671      0.00124513        0.159372
      -7         1.10536      0.00176267        0.225615
      -6         1.87668      0.00248086         0.31754
      -5         3.09928      0.00345879        0.442711
      -4         4.94069      0.00465372        0.595658
      -3         7.45222      0.00593313        0.759418
      -2         10.3457        0.007381        0.944739
      -1         12.7575      0.00833266         1.06655
       0         13.8143      0.00877488         1.12315
       1         12.7949      0.00842047         1.07779
       2         10.3608       0.0073882         0.94566
       3         7.45846      0.00589479         0.75451
       4         4.93515      0.00465479        0.595795
       5         3.09067      0.00341895        0.437613
       6          1.8733      0.00243405        0.311549
       7         1.10437      0.00176285        0.225637
       8         0.64277      0.00123454        0.158016
       9        0.372177     0.000858637        0.109902
      10        0.214152     0.000603355        0.077227
      11        0.123861     0.000419871       0.0537419
      12        0.072586     0.000297628       0.0380952
      13          0.0427     0.000203888       0.0260968
      14       0.0259824     0.000145793       0.0186609
