14 -0.01884362968240169
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.501953         13.6838     0.00925564        1.18469        -1103.19       0.553692        70.8704        0.124539      0.0731508        9.36301
  accept         0.49884         13.6848     0.00883207        1.13047        -1104.56      0.0736831        9.43115       0.0368123      0.0733602        9.38982
       1        0.503235         13.6293     0.00860051        1.10083        -1104.54      0.0729187        9.33331       -0.186549      0.0723852        9.26503
   total        0.503235         13.6293     0.00860051        1.10083        -1104.54      0.0729187        9.33331       -0.186549      0.0723852        9.26503

    mode      occupation             +/-         std dev
     -15       0.0186351     0.000114275       0.0146268
     -14       0.0288218     0.000155116       0.0198542
     -13       0.0474728     0.000220577        0.028233
     -12       0.0789994     0.000306886       0.0392802
     -11        0.133641     0.000431879       0.0552788
     -10        0.229453     0.000627588       0.0803287
      -9        0.391719     0.000887603         0.11361
      -8        0.672498      0.00126992        0.162545
      -7         1.13645      0.00177132        0.226722
      -6         1.91144      0.00248912        0.318598
      -5         3.13759      0.00345728        0.442518
      -4         4.97361       0.0046305        0.592687
      -3         7.46157      0.00591785        0.757462
      -2          10.298      0.00729146        0.933278
      -1         12.6963       0.0082485         1.05578
       0         13.6293      0.00860051         1.10083
       1         12.6831      0.00818282         1.04737
       2         10.2944       0.0071689        0.917591
       3         7.42729      0.00591762        0.757432
       4         4.96498      0.00457254        0.585267
       5         3.14117      0.00337412        0.431875
       6         1.90757      0.00250408        0.320512
       7         1.13946      0.00178701         0.22873
       8        0.669197      0.00125724        0.160922
       9        0.393235     0.000886515         0.11347
      10        0.227811     0.000616229       0.0788749
      11        0.133086     0.000432706       0.0553847
      12       0.0785664     0.000305513       0.0391045
      13       0.0469936     0.000218145       0.0279217
      14       0.0291675     0.000156484       0.0200294
      15       0.0184643     0.000113118       0.0144786
