12 -0.019018107735016523
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.497375         13.8725      0.0089189        1.14158        -1116.86       0.356096        45.5789      -0.0100843       0.071146        9.10641
  accept        0.500549         13.8509     0.00881812        1.12868        -1117.57      0.0680614        8.71159       0.0420883      0.0721506          9.235
       1        0.493652         13.8779     0.00883482        1.13082        -1117.74      0.0683761        8.75187        0.115138      0.0706872        9.04769
   total        0.493652         13.8779     0.00883482        1.13082        -1117.74      0.0683761        8.75187        0.115138      0.0706872        9.04769

    mode      occupation             +/-         std dev
     -13       0.0397655     0.000197665       0.0253004
     -12       0.0675284     0.000282081       0.0361052
     -11        0.116513     0.000405088       0.0518496
     -10        0.204714     0.000587731       0.0752272
      -9        0.358673     0.000834789         0.10685
      -8        0.627005      0.00121934        0.156071
      -7         1.08112      0.00172469        0.220754
      -6         1.85055      0.00245845        0.314672
      -5         3.07608       0.0034058        0.435929
      -4          4.9309      0.00457061         0.58502
      -3         7.45034      0.00593586        0.759767
      -2         10.3697      0.00722049        0.924195
      -1         12.8771      0.00835413          1.0693
       0         13.8779      0.00883482         1.13082
       1         12.8776      0.00828785         1.06081
       2         10.3656      0.00733962        0.939443
       3         7.46077      0.00593181        0.759249
       4         4.93395      0.00460409        0.589306
       5         3.08037      0.00346682         0.44374
       6         1.85268      0.00245242          0.3139
       7         1.08545      0.00174974         0.22396
       8        0.628169      0.00120793        0.154611
       9        0.358366     0.000843381         0.10795
      10        0.204349     0.000577608       0.0739316
      11        0.117732     0.000406298       0.0520046
      12       0.0674588     0.000280112       0.0358533
      13       0.0397208     0.000197327        0.025257
