13 -0.019018107735016523
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.500549         13.6645     0.00882506        1.12957        -1121.57        0.50941        65.2025       0.0453025      0.0719833        9.21358
  accept        0.495605         13.6754     0.00871717        1.11576        -1122.53      0.0715512        9.15828        0.122161      0.0729172        9.33311
       1        0.504211         13.6921     0.00859467        1.10008         -1122.6      0.0710703        9.09672        -0.18824      0.0723411        9.25938
   total        0.504211         13.6921     0.00859467        1.10008         -1122.6      0.0710703        9.09672        -0.18824      0.0723411        9.25938

    mode      occupation             +/-         std dev
     -14       0.0270306      0.00014979       0.0191726
     -13        0.044321     0.000209206       0.0267776
     -12       0.0751628     0.000300009          0.0384
     -11        0.128557      0.00042736       0.0547004
     -10        0.221684     0.000612981       0.0784592
      -9        0.381848     0.000874075        0.111878
      -8        0.662928      0.00124852        0.159806
      -7         1.12881      0.00177219        0.226834
      -6         1.90887      0.00248551        0.318136
      -5          3.1345      0.00340368        0.435658
      -4         4.97366      0.00460545        0.589479
      -3          7.4526      0.00592696        0.758628
      -2         10.3052      0.00723521        0.926078
      -1         12.7381      0.00834806         1.06852
       0         13.6921      0.00859467         1.10008
       1         12.7254      0.00824747         1.05564
       2         10.2794      0.00725426        0.928517
       3         7.46601      0.00593745        0.759971
       4         4.96229      0.00461045         0.59012
       5         3.12225      0.00343524        0.439697
       6         1.89886      0.00247214        0.316424
       7          1.1294      0.00176416        0.225805
       8        0.659957      0.00124789        0.159725
       9        0.383223     0.000877311        0.112292
      10        0.222405     0.000614218       0.0786175
      11        0.129375     0.000429805       0.0550134
      12        0.074764     0.000300051       0.0384053
      13       0.0441767     0.000210702        0.026969
      14       0.0270568     0.000148369       0.0189906
