14 -0.019018107735016523
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.495911          13.567     0.00999865        1.27979        -1124.15       0.425558        54.4698       -0.109773      0.0721853        9.23943
  accept        0.497498         13.5678     0.00861039         1.1021        -1125.16      0.0730663         9.3522       0.0920871      0.0726865        9.30359
       1        0.502319         13.5482     0.00850933        1.08916        -1125.13      0.0727572        9.31264       -0.258966      0.0723075        9.25508
   total        0.502319         13.5482     0.00850933        1.08916        -1125.13      0.0727572        9.31264       -0.258966      0.0723075        9.25508

    mode      occupation             +/-         std dev
     -15       0.0192586     0.000116689       0.0149357
     -14       0.0300246     0.000159103       0.0203646
     -13       0.0488778     0.000221292       0.0283245
     -12       0.0813491     0.000311068       0.0398155
     -11        0.138088     0.000438606       0.0561399
     -10        0.237135     0.000636543        0.081475
      -9        0.401461     0.000898766        0.115039
      -8        0.685639      0.00127669        0.163412
      -7         1.16828      0.00179123        0.229271
      -6         1.94152      0.00249314        0.319112
      -5         3.17359      0.00346855        0.443961
      -4         5.00874      0.00465033        0.595225
      -3         7.46183      0.00594909         0.76146
      -2         10.2504      0.00718013        0.919029
      -1         12.6133      0.00822018         1.05215
       0         13.5482      0.00850933         1.08916
       1         12.5824      0.00825013         1.05598
       2         10.2569      0.00722871        0.925247
       3         7.46113       0.0059105        0.756521
       4         4.98796      0.00453196        0.580073
       5         3.16917      0.00345086        0.441696
       6          1.9387      0.00249822        0.319763
       7         1.15937      0.00179426        0.229658
       8         0.68584      0.00127687        0.163435
       9        0.399856     0.000891538        0.114113
      10        0.234603     0.000625071       0.0800066
      11        0.137769     0.000443876       0.0568144
      12       0.0812082     0.000312795       0.0400365
      13       0.0484733     0.000222491        0.028478
      14       0.0298404     0.000159752       0.0204476
      15       0.0190399      0.00011501       0.0147208
