12 -0.019192585787631354
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.503845         13.7456      0.0087768         1.1234         -1136.8       0.354599        45.3873      -0.0074724      0.0709781        9.08491
  accept        0.498718         13.7483     0.00866124        1.10861        -1137.68      0.0685583         8.7752       -0.257143      0.0720113        9.21716
  accept        0.501465         13.7715     0.00869161        1.11249        -1137.85       0.067742        8.67072      -0.0592515      0.0715003        9.15176
       1        0.497742         13.7569     0.00865165        1.10738        -1137.77      0.0686151        8.78246     -0.00389522      0.0723292        9.25786
   total        0.497742         13.7569     0.00865165        1.10738        -1137.77      0.0686151        8.78246     -0.00389522      0.0723292        9.25786

    mode      occupation             +/-         std dev
     -13       0.0408319      0.00020225       0.0258871
     -12       0.0695402     0.000285751       0.0365751
     -11        0.121026     0.000412513          0.0528
     -10        0.212688     0.000596611       0.0763639
      -9        0.369751     0.000854383        0.109358
      -8        0.643135      0.00124195        0.158965
      -7         1.10756       0.0017604        0.225324
      -6         1.87689      0.00245524        0.314262
      -5         3.11848      0.00339234        0.434206
      -4         4.96779      0.00458624        0.587021
      -3          7.4747      0.00590791         0.75619
      -2         10.3272      0.00735979        0.942025
      -1          12.784      0.00819922         1.04947
       0         13.7569      0.00865165         1.10738
       1         12.7985      0.00817416         1.04626
       2         10.3254      0.00722733        0.925071
       3         7.47893      0.00608278        0.778572
       4         4.97538      0.00463082        0.592727
       5         3.11336      0.00344738        0.441251
       6          1.8767      0.00249075        0.318807
       7         1.10812      0.00177311        0.226951
       8        0.641465       0.0012188        0.156002
       9        0.369052      0.00086171        0.110296
      10        0.211293     0.000585869        0.074989
      11        0.121465     0.000413412       0.0529151
      12       0.0688918     0.000281629       0.0360474
      13        0.040946     0.000200472       0.0256596
