13 -0.019192585787631354
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.503906           13.56     0.00881112        1.12779        -1142.06         0.5181        66.3148       0.0806714      0.0719587        9.21043
  accept        0.496033         13.5742     0.00856842        1.09672        -1143.31      0.0702411        8.99059        0.154522      0.0718156        9.19212
       1        0.497375         13.5836     0.00859724        1.10041         -1143.4      0.0709379        9.07978        0.119655      0.0718227        9.19302
   total        0.497375         13.5836     0.00859724        1.10041         -1143.4      0.0709379        9.07978        0.119655      0.0718227        9.19302

    mode      occupation             +/-         std dev
     -14       0.0278799     0.000151907       0.0194435
     -13       0.0458726     0.000213845       0.0273713
     -12       0.0781655     0.000303555       0.0388539
     -11        0.133332     0.000436084        0.055817
     -10         0.22982     0.000616173       0.0788678
      -9        0.395764     0.000881893        0.112879
      -8        0.675026      0.00125338        0.160427
      -7         1.15221      0.00177854        0.227646
      -6         1.93726       0.0024699        0.316137
      -5         3.16935      0.00337722        0.432271
      -4         4.99691      0.00455119        0.582535
      -3         7.45976      0.00588018         0.75264
      -2         10.2688      0.00715885        0.916305
      -1         12.6157      0.00818139         1.04719
       0         13.5836      0.00859724         1.10041
       1         12.6483      0.00818633         1.04782
       2         10.2499      0.00708441        0.906776
       3         7.48406      0.00590922        0.756357
       4         4.99687      0.00456796        0.584682
       5          3.1698      0.00342548        0.438448
       6         1.93781      0.00249152        0.318905
       7         1.15507      0.00179556        0.229825
       8        0.678404      0.00126391        0.161776
       9        0.394619     0.000885833        0.113383
      10        0.229453     0.000618642       0.0791838
      11         0.13339     0.000432602       0.0553713
      12       0.0780175      0.00030556       0.0391104
      13       0.0465177     0.000214928       0.0275099
      14       0.0283206      0.00015324       0.0196141
