14 -0.019192585787631354
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.502991         13.4494     0.00955302        1.22275        -1144.74       0.541198        69.2712       0.0445741      0.0718895        9.20157
  accept        0.503601         13.4357     0.00847687        1.08501        -1146.43      0.0727547        9.31232      -0.0621228      0.0714518        9.14555
       1        0.504639          13.428      0.0084954        1.08738        -1146.28      0.0736424        9.42594       0.0348486      0.0733923        9.39393
   total        0.504639          13.428      0.0084954        1.08738        -1146.28      0.0736424        9.42594       0.0348486      0.0733923        9.39393

    mode      occupation             +/-         std dev
     -15       0.0197666     0.000117778       0.0150752
     -14       0.0312208     0.000162627       0.0208157
     -13       0.0507661     0.000224113       0.0286857
     -12       0.0845133     0.000315254       0.0403513
     -11        0.143376      0.00045086       0.0577083
     -10        0.242615     0.000635268       0.0813119
      -9        0.414087     0.000902797        0.115555
      -8        0.704698      0.00127892        0.163697
      -7         1.18821      0.00182173        0.233174
      -6         1.96957      0.00250578        0.320729
      -5         3.22155      0.00346733        0.443805
      -4         5.03055      0.00457412         0.58547
      -3         7.44772      0.00584898        0.748647
      -2         10.2146      0.00716401        0.916965
      -1         12.5159      0.00812764         1.04031
       0          13.428       0.0084954         1.08738
       1         12.5182      0.00811868         1.03916
       2         10.2195      0.00709713        0.908405
       3         7.45687      0.00584631        0.748305
       4         5.03706      0.00457884        0.586074
       5         3.20768      0.00342822        0.438799
       6         1.97193       0.0025093        0.321181
       7         1.18676      0.00179368        0.229583
       8        0.704531      0.00127219        0.162836
       9        0.417692     0.000906849        0.116073
      10        0.243161      0.00063975       0.0818855
      11        0.142838      0.00045142         0.05778
      12       0.0845544     0.000323065       0.0413511
      13       0.0511452     0.000225735       0.0288932
      14       0.0312674     0.000161839       0.0207148
      15       0.0196247     0.000115632       0.0148005
