   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0        0.571106         13.7715       0.044323        11.3466         1139.32        1.03644        265.326      -0.0257012       0.260517        66.6919
       1        0.497635          14.342      0.0439409        11.2488         1134.31        1.01749        260.476       -0.215281       0.254066        65.0403
       2        0.500687         13.3407      0.0420003         10.752         1139.49        1.02437        262.236          1.5792       0.252017         64.516
       3        0.499237          14.673      0.0461703        11.8195         1130.42        1.02813        263.198       -0.125802       0.250824        64.2105
       4        0.501602         13.9123      0.0430871        11.0302         1140.86         1.0329         264.42       -0.544439       0.252591        64.6629
       5        0.500031         13.6929      0.0441883        11.3121         1140.21        1.02467        262.315        -1.99704       0.254987        65.2762
       6          0.4991         13.9942      0.0441664        11.3065         1133.76         1.0402        266.289         2.59652       0.252838         64.726
       7        0.500015         12.9446      0.0420982        10.7771         1142.18        1.04209        266.773         1.81407       0.254877        65.2481
       8        0.499268         13.5447      0.0429289        10.9897          1143.1        1.03881        265.932        -1.04397       0.255987        65.5321
   total        0.508247         13.8029      0.0291408          11.19         1138.03       0.687688        264.071        0.215184       0.169486        65.0822
