   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0         0.57196         29.1082      0.0724054        18.5357          421.92       0.414186        106.031        0.189132       0.169167        43.3065
       1        0.502609         29.5175      0.0741098         18.972         425.321       0.415828        106.451        -1.73693       0.164435        42.0951
       2        0.499695         29.5779      0.0771238        19.7436         424.722       0.410652        105.126          2.5838       0.162902        41.7027
       3        0.499756         29.2786      0.0756675        19.3707         422.848       0.406775        104.134        0.628853       0.164452        42.0995
       4        0.500031         30.4615      0.0742255        19.0016         425.335       0.417747        106.942        -1.30655        0.16313         41.761
       5         0.50029         28.9559      0.0729606        18.6778          423.89       0.412571        105.617         1.50823       0.166204        42.5478
       6        0.500046         29.8277      0.0753399        19.2869         424.718       0.409035        104.712       -0.750455        0.16293        41.7099
       7        0.498322         29.7248      0.0727751        18.6303         425.279       0.411215         105.27       0.0681786       0.164205        42.0362
       8        0.500717         29.0489       0.073399          18.79         424.566       0.399721        102.328       -0.710112       0.167415        42.8579
   total         0.51138         29.4942      0.0495062        19.0103         424.349       0.274023        105.225       0.0768189       0.110064        42.2644
