   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.519759         10.0967     0.00910577        9.10576         8071.62        0.54295         542.95        0.834215      0.0787804        78.7804
    init        0.519472         9.92532     0.00898544        8.98543          8073.4       0.541113        541.113       -0.822849      0.0793072        79.3072
    init        0.519474         9.92332     0.00900726        9.00726         8065.89       0.538951         538.95        -1.27208      0.0784532        78.4532
    init        0.519576           10.24     0.00917168        9.17168         8063.54       0.546189        546.188       0.0908939      0.0784353        78.4352
  accept        0.499761          10.051     0.00911446        9.11446         8061.28       0.537281         537.28       -0.813017      0.0786343        78.6343
  accept        0.500467         9.95538     0.00892806        8.92806         8073.03       0.535981        535.981       -0.883594      0.0785772        78.5772
  accept        0.499675         10.2302     0.00923606        9.23605         8064.23       0.544976        544.976        0.258668      0.0785032        78.5031
  accept        0.500301         9.79204     0.00881219        8.81219         8065.11       0.539698        539.697        0.581868      0.0789534        78.9534
  accept        0.500025         9.96419     0.00899915        8.99914         8071.84       0.543429        543.428        0.285277      0.0783605        78.3604
  accept        0.499552         10.2536     0.00923859        9.23859         8065.14       0.540711        540.711        0.575227      0.0780484        78.0483
  accept        0.500236          9.8267     0.00894223        8.94223          8055.6       0.538481        538.481        0.176246      0.0797882        79.7881
       1        0.499991         9.74284      0.0088035        8.80349         8073.15       0.539624        539.623       -0.805102      0.0787195        78.7195
       2        0.500157         9.91128     0.00890569        8.90569         8073.65       0.537882        537.882         1.19947      0.0784361        78.4361
       3        0.499639         10.0601     0.00909723        9.09723         8063.51       0.540199        540.199        0.738311      0.0785011        78.5011
       4        0.500066         10.2486     0.00928048        9.28048         8057.05       0.542073        542.073        0.571941      0.0780058        78.0058
       5        0.500092            10.2     0.00929041         9.2904         8068.51        0.54468         544.68        0.514148      0.0784496        78.4495
       6        0.500182          9.8927     0.00908163        9.08163         8061.74       0.539966        539.966       -0.143594      0.0783151        78.3151
       7         0.50005         9.79081     0.00889482        8.89482         8064.58       0.539048        539.048         0.18415      0.0781034        78.1034
       8        0.499982         9.93422      0.0090437        9.04369         8067.84       0.543062        543.061       -0.768684      0.0780979        78.0978
   total        0.500174         9.97269     0.00640131        9.05282         8066.29       0.382418        540.821        0.187621      0.0553889        78.3318

    mode      occupation             +/-         std dev
     -10         1.50898       0.0010666          1.5084
      -9         1.78759      0.00126036         1.78242
      -8         2.17656      0.00153445         2.17004
      -7         2.65583      0.00186878         2.64285
      -6         3.29774       0.0023172         3.27701
      -5         4.14655      0.00289095         4.08842
      -4          5.2627      0.00362009         5.11958
      -3         6.66303      0.00448295         6.33984
      -2         8.06863      0.00534416         7.55778
      -1         9.38716      0.00607631          8.5932
       0         9.97269      0.00640131         9.05282
       1         9.48482      0.00611971         8.65457
       2         8.11716      0.00537967           7.608
       3          6.6064      0.00443428         6.27101
       4         5.24627      0.00361777          5.1163
       5         4.17483      0.00290913         4.11413
       6         3.31995       0.0023252         3.28834
       7         2.65505      0.00186976         2.64424
       8         2.16995      0.00153243         2.16719
       9         1.79055      0.00126683         1.79156
      10         1.50754      0.00106393         1.50463
