   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.521652         8.54181     0.00785474        7.85473         8729.07       0.621649        621.649       -0.446017      0.0844433        84.4433
    init        0.521571         8.50129     0.00774813        7.74812            8724       0.615096        615.096        0.830192      0.0848527        84.8527
    init        0.521472         8.37409     0.00774612        7.74612         8720.47       0.615038        615.037        0.572661      0.0848752        84.8752
    init        0.521911         8.47809     0.00767826        7.67826         8722.41       0.613889        613.888       -0.157162      0.0850095        85.0095
  accept        0.499783         8.35479       0.007575          7.575         8721.75       0.615477        615.477      -0.0058573      0.0846522        84.6521
       1        0.500002          8.4911     0.00784034        7.84034         8730.61       0.616947        616.947       -0.814501      0.0849853        84.9853
       2        0.499706         8.37297     0.00763632        7.63632         8725.01       0.611871        611.871         1.33025      0.0846845        84.6845
       3        0.500254         8.63066      0.0079038         7.9038         8723.57       0.618029        618.029        -1.73396      0.0850642        85.0641
       4        0.499855         8.62697     0.00782364        7.82363         8709.33       0.615283        615.283       -0.855697      0.0840691        84.0691
       5        0.499819         8.20057     0.00748952        7.48952         8720.59        0.61948         619.48       -0.457529      0.0846813        84.6813
       6        0.500336         8.39794     0.00773171        7.73171         8716.11       0.616977        616.977        -1.19823      0.0845986        84.5986
       7        0.499877         8.72216     0.00789644        7.89643          8712.5       0.615189        615.188       -0.628432      0.0843593        84.3593
       8        0.500162         8.57628     0.00777372        7.77372         8721.99       0.611867        611.867       -0.728216      0.0846923        84.6923
   total         0.49982         8.50219     0.00549067        7.76498         8719.92       0.435373         615.71       -0.643257      0.0598521        84.6436

    mode      occupation             +/-         std dev
     -11         1.50336      0.00105956         1.49845
     -10         1.74321      0.00123314         1.74392
      -9         2.05738      0.00144772         2.04739
      -8         2.45887      0.00172871         2.44477
      -7         2.96927      0.00208811         2.95303
      -6         3.59584      0.00250715         3.54564
      -5         4.37231      0.00301505         4.26392
      -4         5.28142      0.00359432         5.08314
      -3         6.33472      0.00425938         6.02367
      -2         7.34696      0.00485088         6.86018
      -1         8.14669      0.00529309         7.48556
       0         8.50219      0.00549067         7.76498
       1         8.18507      0.00532398         7.52924
       2         7.28771      0.00482456         6.82296
       3         6.29803      0.00422461          5.9745
       4         5.29574       0.0036042         5.09711
       5         4.34178      0.00299982         4.24239
       6         3.57772        0.002494         3.52705
       7         2.94899      0.00206194         2.91602
       8         2.45528      0.00172468         2.43907
       9         2.05919      0.00145174         2.05307
      10         1.74635      0.00123017         1.73973
      11         1.49191      0.00105366          1.4901
