   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init         0.52344         7.36416     0.00686166        6.86166         9406.38        0.68864        688.639        0.605345       0.090527        90.5269
    init        0.523534         7.38984     0.00688763        6.88763         9412.34       0.695091        695.091       -0.433257      0.0908809        90.8809
    init        0.523224         7.37522     0.00678104        6.78104         9406.23       0.696049        696.049        0.909374      0.0899126        89.9125
    init        0.523075         7.36043     0.00681078        6.81078         9407.22       0.697656        697.656        -1.48529      0.0900457        90.0457
    init        0.523238         7.37754      0.0068528         6.8528         9410.65       0.699166        699.165        0.210246      0.0909984        90.9984
  accept         0.50013         7.44658     0.00692526        6.92525         9405.27       0.695475        695.475       -0.360886      0.0909701        90.9701
  accept        0.499585         7.33779     0.00669444        6.69444         9417.95       0.698733        698.733        -0.97769      0.0912686        91.2686
  accept        0.500162         7.45758     0.00693492        6.93492         9410.44       0.698899        698.898       -0.692323      0.0903552        90.3552
  accept        0.500231         7.35896     0.00681703        6.81703         9411.72       0.688633        688.633       -0.918751      0.0910482        91.0482
  accept        0.500056         7.48625     0.00689332        6.89332         9408.79        0.69217         692.17        0.287164       0.090062        90.0619
  accept        0.499714          7.3487     0.00681826        6.81826         9412.12       0.695937        695.936       -0.450088      0.0914541        91.4541
  accept        0.500238         7.20783     0.00674658        6.74658         9414.36       0.695049        695.049        0.375881      0.0910622        91.0622
  accept        0.500122         7.36301     0.00683451        6.83451         9409.68       0.690577        690.577       -0.650007      0.0910802        91.0802
  accept        0.499901         7.34567     0.00676667        6.76667         9414.58       0.699553        699.553        0.239648      0.0907915        90.7915
       1        0.499901         7.48843     0.00696705        6.96705         9403.08       0.701065        701.065        0.833232      0.0904315        90.4315
       2        0.500234          7.4601     0.00692108        6.92108         9413.95       0.691365        691.365        0.390947      0.0905619        90.5619
       3        0.499962         7.41183     0.00681881        6.81881         9417.11       0.696697        696.697        -0.84114      0.0910518        91.0518
       4        0.499879         7.40657      0.0068436        6.84359         9415.74       0.695287        695.287        -0.10811      0.0906857        90.6856
       5        0.500219         7.44591     0.00686378        6.86378         9421.52       0.693967        693.967        0.166952      0.0907626        90.7626
       6        0.499743         7.36903     0.00675758        6.75758         9410.87       0.690033        690.032       0.0223375      0.0913098        91.3098
       7        0.499903          7.3112     0.00679415        6.79414         9412.49       0.696676        696.676        0.956432      0.0909505        90.9505
       8         0.49993         7.38196      0.0068238         6.8238         9411.56       0.692947        692.947        0.422319      0.0896001        89.6001
   total        0.499785         7.40898     0.00484325        6.84939         9413.27       0.491217        694.685        0.215202      0.0641143        90.6712

    mode      occupation             +/-         std dev
     -12         1.47601      0.00103975         1.47043
     -11          1.6936      0.00119016         1.68314
     -10         1.96403      0.00137977         1.95129
      -9         2.28706       0.0016049         2.26967
      -8         2.68071      0.00187219         2.64767
      -7         3.16855      0.00220724         3.12151
      -6         3.72908      0.00257608         3.64313
      -5          4.3936      0.00300746          4.2532
      -4         5.14237      0.00348034         4.92194
      -3         5.92408       0.0039583         5.59788
      -2         6.67325      0.00443802          6.2763
      -1         7.10412      0.00467906         6.61719
       0         7.40898      0.00484325         6.84939
       1         7.20767      0.00472454         6.68151
       2         6.64376      0.00441373         6.24195
       3          5.9506      0.00399006          5.6428
       4          5.1623      0.00349414         4.94146
       5         4.38173      0.00300656         4.25192
       6         3.73763      0.00258485         3.65553
       7         3.16501      0.00220153         3.11343
       8         2.68326      0.00187484         2.65142
       9         2.28711      0.00160792         2.27395
      10         1.96426      0.00138205         1.95451
      11         1.69209      0.00119172         1.68534
      12         1.47914      0.00104297         1.47498
