   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.524742           6.654     0.00618907        6.18907           10145       0.775563        775.563       -0.184304      0.0966829        96.6829
  accept        0.500001         6.56289      0.0060829         6.0829           10145       0.782893        782.893        0.176633      0.0963771         96.377
       1        0.499822         6.43956     0.00601625        6.01625         10138.3       0.778715        778.714         1.09672       0.096476        96.4759
       2         0.50041         6.59934     0.00607597        6.07597         10151.3       0.770968        770.967      -0.0347331      0.0971827        97.1826
       3        0.499851         6.54138     0.00606075        6.06074         10150.7       0.774533        774.533       -0.346253      0.0971065        97.1064
       4        0.499975         6.60874     0.00611724        6.11723         10142.2       0.779477        779.477       -0.259633      0.0963653        96.3652
       5        0.499598         6.48984     0.00609275        6.09274           10142        0.78323         783.23        0.121799      0.0967481         96.748
       6        0.500419         6.58961     0.00611943        6.11943         10142.6       0.778369        778.368        0.392082      0.0968632        96.8632
       7        0.499345         6.46843       0.006089          6.089         10145.8        0.77785         777.85        -1.08905      0.0968304        96.8304
       8        0.500416         6.56056     0.00615249        6.15249         10148.2       0.780377        780.377        0.767884      0.0968608        96.8607
   total        0.500131         6.53674     0.00430685         6.0908         10145.1       0.550027        777.855       0.0764766      0.0684525        96.8065

    mode      occupation             +/-         std dev
     -13         1.44688      0.00101858         1.44048
     -12         1.64084      0.00115549         1.63411
     -11         1.86778      0.00131165         1.85496
     -10         2.14287      0.00149944         2.12053
      -9         2.45551      0.00171751         2.42893
      -8         2.83178      0.00196536         2.77944
      -7         3.28816       0.0022728         3.21423
      -6         3.78464      0.00260418         3.68286
      -5         4.36339      0.00298316         4.21883
      -4         4.92623      0.00333056         4.71012
      -3         5.57031      0.00376163         5.31974
      -2         6.02045      0.00400972          5.6706
      -1         6.38155      0.00420881         5.95216
       0         6.53674      0.00430685          6.0908
       1         6.39876      0.00420885         5.95221
       2         6.05485      0.00401314         5.67544
       3         5.53523      0.00371199         5.24955
       4         4.94067      0.00334753         4.73412
       5          4.3559      0.00297321         4.20475
       6           3.774      0.00259236         3.66616
       7         3.27398      0.00227281         3.21424
       8         2.83322      0.00197315         2.79045
       9          2.4666      0.00171998         2.43241
      10         2.14583      0.00150392         2.12686
      11         1.87171        0.001313         1.85686
      12         1.64374      0.00115293         1.63048
      13         1.44839      0.00102118         1.44417
