   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.525632         5.91538      0.0055431        5.54309         10916.5       0.859787        859.787        -0.70688       0.102193        102.193
    init        0.525873         5.86524     0.00556837        5.56837         10923.7       0.860125        860.125       -0.370726       0.102915        102.915
    init         0.52577         5.97529     0.00562925        5.62925         10907.2       0.861731         861.73        -1.21859       0.102172        102.172
    init        0.525729         5.83574     0.00543262        5.43261         10912.3       0.863735        863.735        0.865813       0.102328        102.328
    init        0.525884         5.75661     0.00536632        5.36632         10916.1       0.862826        862.825       0.0082231       0.102037        102.037
  accept        0.499868         5.78552     0.00550131        5.50131         10905.4        0.86167        861.669       -0.034864       0.102225        102.225
       1         0.49993         5.94119      0.0055551         5.5551         10923.8       0.862362        862.362       -0.333942       0.102828        102.828
       2         0.50007         5.83759     0.00550897        5.50897         10934.2       0.861732        861.732         0.54627       0.102838        102.838
       3        0.499967          5.8287      0.0054143         5.4143         10913.2       0.866899        866.898        -0.16817       0.102531        102.531
       4        0.499693         5.83741     0.00548758        5.48758           10913       0.862781         862.78       -0.119229       0.102222        102.222
       5        0.500108         5.76275     0.00540088        5.40088         10911.6       0.862792        862.792       -0.536136       0.102429        102.429
       6        0.500279         5.85378     0.00544706        5.44706         10910.3       0.859563        859.563       -0.574067       0.102609        102.609
       7        0.499773         5.81019     0.00543994        5.43994         10917.9       0.863847        863.846       -0.283004       0.102689        102.689
       8        0.500152         5.82775     0.00546277        5.46277         10919.4       0.864878        864.877        0.288236       0.102835        102.835
   total        0.499967         5.83746      0.0038647        5.46551         10918.1       0.610327        863.133       -0.152485      0.0725737        102.635

    mode      occupation             +/-         std dev
     -14         1.41431       0.0009956         1.40799
     -13         1.58919      0.00111594         1.57818
     -12         1.78526      0.00125185         1.77039
     -11         2.01464      0.00141152          1.9962
     -10         2.28609        0.001594         2.25425
      -9         2.57466      0.00179412         2.53727
      -8         2.92915      0.00202887         2.86926
      -7         3.32941      0.00229739           3.249
      -6         3.75955       0.0025692         3.63339
      -5         4.22075      0.00286728         4.05494
      -4         4.71147      0.00318431          4.5033
      -3         5.18397      0.00348464         4.92802
      -2          5.5091      0.00366958         5.18957
      -1          5.7909      0.00383517         5.42375
       0         5.83746       0.0038647         5.46551
       1         5.76334      0.00382541         5.40995
       2         5.52147      0.00367689          5.1999
       3         5.17649      0.00346644         4.90228
       4         4.69672      0.00317338         4.48784
       5         4.23977      0.00288444         4.07922
       6         3.76388      0.00258827         3.66036
       7         3.33442      0.00229429         3.24462
       8         2.91873      0.00202626         2.86556
       9         2.57436      0.00179038         2.53197
      10          2.2747      0.00158695         2.24428
      11         2.01207      0.00140687         1.98962
      12         1.77929      0.00124868         1.76591
      13         1.58891      0.00111707         1.57977
      14         1.41996     0.000999394         1.41336
