   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.526271         5.32209     0.00502219        5.02219         11742.4       0.956584        956.584        0.239624       0.108197        108.197
  accept        0.499901         5.39266     0.00500875        5.00875         11731.8        0.95561        955.609       -0.221425       0.108397        108.397
       1        0.500154         5.34214     0.00503136        5.03136         11736.8       0.955944        955.944         0.18479       0.107772        107.772
       2        0.500049         5.24807     0.00487995        4.87994         11741.8       0.949034        949.034        0.362696       0.107989        107.989
       3        0.500107         5.29115     0.00496856        4.96856         11737.7       0.954521        954.521        0.845014       0.108076        108.076
       4        0.499826         5.28475     0.00496767        4.96766         11744.5        0.95327        953.269      -0.0612063       0.108218        108.218
       5        0.499695         5.31071      0.0049701        4.97009         11732.4       0.957449        957.449        0.141496        0.10803         108.03
       6        0.500329         5.32158     0.00499299        4.99299         11738.9       0.955616        955.616       -0.600984       0.108778        108.778
       7        0.500033         5.32162     0.00500011        5.00011         11742.2       0.954377        954.377       -0.299409        0.10836         108.36
       8        0.499897         5.33057     0.00503704        5.03704         11745.2        0.95432         954.32        -0.20509       0.108456        108.456
   total         0.49996           5.306     0.00352186        4.98067         11739.9       0.674706        954.179       0.0448055       0.076521        108.217

    mode      occupation             +/-         std dev
     -15          1.3828     0.000973485         1.37672
     -14         1.53836      0.00108008         1.52746
     -13         1.70437      0.00119531         1.69042
     -12         1.90507      0.00133556         1.88876
     -11         2.12908      0.00148473         2.09973
     -10         2.37842      0.00165589         2.34178
      -9         2.64822      0.00184306         2.60648
      -8         2.98758      0.00206183         2.91587
      -7         3.32303      0.00227927         3.22337
      -6         3.69283      0.00252476         3.57055
      -5         4.05703      0.00276346         3.90812
      -4         4.45828       0.0030109         4.25805
      -3          4.8135      0.00323322         4.57246
      -2         5.08899      0.00339595         4.80259
      -1         5.23273      0.00348664         4.93086
       0           5.306      0.00352186         4.98067
       1         5.25775      0.00349562         4.94355
       2         5.07771       0.0033853         4.78754
       3         4.78914      0.00321581         4.54785
       4         4.46701      0.00301693         4.26658
       5         4.07102      0.00276027         3.90361
       6         3.69577      0.00252411         3.56963
       7         3.31504       0.0022858          3.2326
       8           2.985      0.00206431         2.91937
       9         2.65939      0.00184421         2.60811
      10         2.38454      0.00166111         2.34916
      11         2.12389      0.00148642         2.10212
      12         1.89802      0.00132913         1.87967
      13         1.71029      0.00119839         1.69478
      14          1.5356      0.00107768         1.52407
      15         1.38355     0.000971313         1.37364
