   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.526425         4.90149     0.00461788        4.61788         12597.6        1.04872        1048.72         1.21443       0.113454        113.454
    init        0.526566         4.90241     0.00461416        4.61416         12603.3        1.03883        1038.83        0.437898       0.113283        113.283
    init        0.526354         4.87024     0.00460008        4.60008         12595.8        1.04509        1045.09        0.640694       0.113472        113.472
    init        0.526184         4.89524     0.00461495        4.61494         12597.3        1.04694        1046.94         1.53356       0.113409        113.409
    init        0.526843         4.91165     0.00459108        4.59108         12598.8        1.04173        1041.73       -0.304058       0.113911        113.911
  accept        0.499969         4.88907     0.00460316        4.60315         12605.2        1.05007        1050.07        0.675618        0.11437         114.37
  accept        0.499798         4.88482      0.0045792        4.57919         12608.7        1.04494        1044.94       -0.223568       0.114014        114.014
       1        0.499762         4.83519     0.00455867        4.55867         12608.8        1.04191        1041.91        0.213051       0.113974        113.973
       2        0.500302         4.86348     0.00455067        4.55067         12610.7        1.04457        1044.57        0.752883       0.113892        113.892
       3        0.499822          4.8627     0.00457777        4.57777         12587.9        1.03879        1038.79      -0.0665382       0.113429        113.429
       4        0.500362         4.86058     0.00460176        4.60176         12598.6        1.04543        1045.43        -0.36121       0.113228        113.228
       5        0.499738         4.84897     0.00454453        4.54453         12611.8        1.05181        1051.81        0.580068       0.113815        113.815
       6        0.500117          4.8636     0.00460249        4.60249         12599.1        1.04536        1045.36        0.424664       0.113481        113.481
       7         0.49989         4.90408     0.00464485        4.64484           12606        1.05271        1052.71        -1.00852       0.113729        113.729
       8        0.500079         4.87713     0.00458961        4.58961         12610.2         1.0502         1050.2       -0.352591       0.114117        114.117
   total         0.50008         4.86398     0.00324172        4.58448         12604.4       0.740129         1046.7       0.0282876      0.0804022        113.706

    mode      occupation             +/-         std dev
     -16         1.34997     0.000949515         1.34282
     -15         1.48231      0.00104177         1.47328
     -14         1.63065      0.00114274         1.61608
     -13         1.80546      0.00126688         1.79164
     -12         1.99054      0.00138716         1.96173
     -11         2.20251      0.00153455         2.17018
     -10         2.43675      0.00169231         2.39329
      -9          2.7058       0.0018726         2.64825
      -8         2.97717      0.00204822         2.89662
      -7          3.2833      0.00224641         3.17691
      -6         3.59395      0.00245241         3.46822
      -5         3.92588      0.00265687         3.75738
      -4         4.21297      0.00284893         4.02899
      -3         4.48423      0.00301043          4.2574
      -2         4.67415      0.00312572         4.42044
      -1         4.81856       0.0032097         4.53921
       0         4.86398      0.00324172         4.58448
       1         4.81302      0.00320612         4.53414
       2         4.70719      0.00315366         4.45994
       3         4.48224      0.00300101         4.24407
       4         4.18751      0.00282032         3.98854
       5         3.89921       0.0026443          3.7396
       6         3.58355      0.00244484         3.45752
       7         3.28697      0.00225219         3.18508
       8         2.97965      0.00205106         2.90063
       9         2.70699      0.00187813         2.65607
      10         2.44083      0.00169466         2.39662
      11         2.20639      0.00153521         2.17111
      12         1.99543      0.00139229           1.969
      13          1.7999      0.00125895         1.78043
      14         1.63615      0.00114661         1.62155
      15         1.48612      0.00104243         1.47422
      16         1.35066      0.00094916         1.34231
