   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.527072         4.47358     0.00423093        4.23093         13524.3        1.15028        1150.28        0.674276       0.119517        119.517
    init        0.526492         4.48879     0.00426882        4.26882         13526.9        1.14236        1142.36        0.164816       0.118712        118.712
  accept        0.500224         4.50176     0.00421463        4.21463         13525.9        1.14776        1147.76       -0.264843       0.118749        118.749
       1        0.499942         4.46343     0.00421539        4.21538         13518.1        1.14533        1145.33         1.19567       0.118954        118.954
       2        0.500039         4.45447     0.00424884        4.24884           13512        1.14853        1148.53       -0.758957       0.118514        118.514
       3        0.500079         4.46764     0.00424952        4.24952         13530.2         1.1559         1155.9        -1.20183       0.118353        118.353
       4         0.49986         4.44079     0.00421119        4.21119         13515.6        1.14913        1149.13       -0.105515       0.118601          118.6
       5        0.500119         4.45936     0.00420598        4.20598         13519.2        1.14721        1147.21        0.214789       0.118941        118.941
       6        0.500098         4.52517     0.00426846        4.26846         13530.9        1.14545        1145.45       -0.576951       0.119053        119.053
       7        0.499833         4.45968     0.00423073        4.23073         13522.9        1.15595        1155.95       -0.579313       0.119262        119.262
       8        0.500035         4.50045     0.00426136        4.26136         13521.9        1.15282        1152.82          1.2312        0.11977         119.77
   total        0.500645         4.47137     0.00299505        4.23563         13521.3       0.813308        1150.19      -0.0610134      0.0841259        118.972

    mode      occupation             +/-         std dev
     -17         1.31834     0.000927375         1.31151
     -16         1.43373      0.00100736         1.42462
     -15         1.57124      0.00110148         1.55773
     -14         1.71553      0.00120004         1.69711
     -13         1.88555      0.00131697         1.86247
     -12         2.06215      0.00143609         2.03094
     -11         2.25451      0.00156446         2.21248
     -10         2.47369      0.00171327         2.42293
      -9         2.70314      0.00186455         2.63687
      -8         2.95199      0.00202821         2.86832
      -7         3.21695      0.00219942         3.11045
      -6         3.48191       0.0023717         3.35408
      -5         3.73091      0.00253203         3.58083
      -4         3.97378      0.00268397         3.79571
      -3         4.18373      0.00280692         3.96958
      -2          4.3499       0.0029212          4.1312
      -1         4.45306      0.00297761         4.21098
       0         4.47137      0.00299505         4.23563
       1         4.45565      0.00297545         4.20792
       2         4.34227      0.00291403         4.12106
       3          4.2023      0.00282459         3.99458
       4         3.97804      0.00268146         3.79216
       5         3.74452      0.00253899         3.59067
       6         3.47717      0.00236697         3.34741
       7         3.20149       0.0021949         3.10406
       8         2.96472      0.00203456         2.87731
       9         2.68914      0.00185083         2.61747
      10         2.48046      0.00171436         2.42447
      11         2.25573       0.0015681         2.21762
      12         2.05561       0.0014323         2.02558
      13          1.8832      0.00131587         1.86092
      14         1.71438      0.00119875         1.69529
      15          1.5648       0.0010962         1.55027
      16         1.44017      0.00101092         1.42966
      17         1.31888      0.00092663         1.31045
