   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.526763         4.20001     0.00399652        3.99652         14494.2        1.26286        1262.86        0.122655       0.123898        123.898
  accept        0.499825         4.18359     0.00397065        3.97065         14489.8        1.25313        1253.13        0.775517       0.124234        124.234
  accept        0.500154          4.1789     0.00395037        3.95037         14497.5        1.25423        1254.23       -0.130684       0.123969        123.969
       1         0.50016         4.15975     0.00392209        3.92209         14493.7        1.24962        1249.62        0.443381       0.123954        123.954
       2        0.499648         4.14559     0.00393591        3.93591         14498.9        1.25953        1259.53        -1.24858       0.124211        124.211
       3        0.499542         4.12697     0.00391346        3.91346         14478.8        1.25331        1253.31         1.29659       0.123776        123.776
       4        0.500591         4.13462     0.00391341        3.91341           14499        1.25037        1250.37        0.131863       0.124042        124.042
       5        0.500172         4.07746     0.00388388        3.88388         14509.9        1.25403        1254.03      -0.0633335        0.12415         124.15
       6        0.499837         4.16562     0.00395335        3.95335         14486.2        1.25079        1250.79       -0.468497       0.124111        124.111
       7        0.499924         4.16038      0.0039509         3.9509         14492.2        1.25103        1251.03       -0.306802       0.124114        124.114
       8        0.500033         4.12357     0.00387783        3.87783         14501.6        1.25387        1253.87      0.00162648       0.123802        123.802
   total        0.500133           4.137     0.00277107        3.91889         14495.2       0.885898        1252.85      -0.0257302      0.0876521        123.959

    mode      occupation             +/-         std dev
     -18         1.28773     0.000902915         1.27691
     -17         1.39194     0.000976056         1.38035
     -16         1.51366      0.00106117         1.50072
     -15         1.63974      0.00114829         1.62393
     -14         1.77655      0.00123875         1.75186
     -13         1.93252      0.00134758         1.90577
     -12         2.09916      0.00145797         2.06188
     -11         2.28615       0.0015881         2.24591
     -10         2.48683      0.00171789         2.42946
      -9         2.70044      0.00186178         2.63295
      -8         2.90521      0.00199675         2.82384
      -7         3.13493      0.00214215         3.02946
      -6          3.3396      0.00227343         3.21511
      -5         3.57152      0.00241827         3.41995
      -4         3.77282      0.00254529         3.59958
      -3          3.9111      0.00263249          3.7229
      -2         4.05733      0.00272325         3.85125
      -1         4.13982      0.00277627         3.92624
       0           4.137      0.00277107         3.91889
       1         4.12409      0.00276702         3.91316
       2         4.04463      0.00271711         3.84258
       3         3.92141      0.00264578         3.74169
       4         3.74892      0.00253185         3.58057
       5         3.56477      0.00241273         3.41211
       6         3.35563      0.00228412         3.23023
       7         3.12424      0.00213214         3.01531
       8         2.91104      0.00200031         2.82886
       9         2.70334      0.00185906          2.6291
      10         2.48349      0.00171181         2.42086
      11         2.28985       0.0015861         2.24308
      12         2.10471      0.00145942         2.06393
      13          1.9367      0.00134922         1.90808
      14         1.77804      0.00124032         1.75407
      15         1.63631      0.00114521         1.61958
      16         1.51209      0.00106055         1.49985
      17         1.39095     0.000975032          1.3789
      18         1.28573      0.00090117         1.27445
