   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.526104         3.84332     0.00368777        3.68777         15523.8        1.36231        1362.31        -1.19153       0.128856        128.856
    init         0.52591         3.85463     0.00367666        3.67666         15520.2         1.3541         1354.1      -0.0483006       0.128943        128.943
  accept        0.499888         3.90818     0.00372482        3.72482           15513        1.37077        1370.77        -0.80524       0.129228        129.227
  accept        0.500192         3.88027     0.00369804        3.69804         15518.3        1.35968        1359.68       -0.239495       0.129455        129.455
       1        0.500241         3.85985     0.00366947        3.66947         15520.5        1.35528        1355.28        0.968789       0.129283        129.283
       2        0.499742         3.87513      0.0036887         3.6887         15527.3        1.36329        1363.29        0.424883       0.129495        129.495
       3        0.500283         3.88798     0.00367591        3.67591         15524.5         1.3643         1364.3         1.62955       0.129111        129.111
       4        0.499932         3.88725     0.00373028        3.73028         15524.6        1.36084        1360.84       -0.430335       0.129067        129.067
       5        0.499969         3.86656     0.00367123        3.67123         15528.4        1.36355        1363.55         1.26209       0.128845        128.845
       6        0.500147         3.90722     0.00370899        3.70899         15518.6        1.36072        1360.72       0.0826788       0.129516        129.516
       7        0.499856          3.8603     0.00365559        3.65558         15517.7        1.36019        1360.19       -0.214492       0.128944        128.944
       8        0.500387         3.90144     0.00370687        3.70687         15533.8         1.3689         1368.9        0.380978       0.129484        129.483
   total        0.500255         3.88078     0.00260754        3.68761         15524.5       0.963095        1362.02         0.50263      0.0913677        129.213

    mode      occupation             +/-         std dev
     -19         1.25555     0.000881919         1.24722
     -18         1.34959     0.000947652         1.34018
     -17         1.45698       0.0010203         1.44292
     -16         1.57048      0.00109893         1.55413
     -15         1.69075      0.00117916         1.66758
     -14         1.82907       0.0012749         1.80299
     -13         1.97119      0.00136958         1.93687
     -12         2.13268      0.00147727         2.08918
     -11         2.29265      0.00158476         2.24119
     -10         2.47479      0.00170292          2.4083
      -9         2.65778      0.00182288         2.57794
      -8         2.84206      0.00194479         2.75035
      -7         3.02951      0.00206318         2.91778
      -6         3.21342       0.0021893         3.09613
      -5         3.40582      0.00231192         3.26954
      -4         3.54641      0.00240024         3.39445
      -3         3.68239      0.00248734         3.51763
      -2         3.77963      0.00254742          3.6026
      -1         3.84027      0.00258016          3.6489
       0         3.88078      0.00260754         3.68761
       1         3.85978      0.00260071         3.67796
       2         3.77985      0.00254918         3.60509
       3         3.68298      0.00248911         3.52013
       4         3.55799      0.00240823         3.40575
       5          3.4051      0.00230135         3.25461
       6         3.22763       0.0021976         3.10787
       7         3.04131       0.0020751         2.93463
       8         2.83659      0.00194345         2.74845
       9         2.66301      0.00182732         2.58422
      10         2.47883      0.00171056          2.4191
      11         2.29579      0.00158674         2.24399
      12         2.13916      0.00148618         2.10178
      13         1.97378      0.00137316         1.94194
      14           1.823      0.00126963         1.79553
      15         1.69222      0.00118053         1.66952
      16         1.57607      0.00110167           1.558
      17         1.45747      0.00102039         1.44305
      18         1.35156     0.000948698         1.34166
      19         1.25609     0.000881442         1.24655
