   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.525748         3.63774     0.00345319        3.45319         16627.2        1.47911        1479.11       0.0757095       0.134412        134.412
  accept        0.500206         3.60461     0.00341007        3.41007         16612.6        1.48173        1481.73        0.967998       0.134432        134.432
  accept        0.499917         3.57157     0.00341478        3.41478         16611.8        1.47689        1476.89        0.426942       0.133905        133.905
  accept        0.500153         3.60918     0.00343662        3.43661         16598.8        1.47248        1472.48        -0.58002        0.13409         134.09
  accept        0.500036         3.61559      0.0034497         3.4497         16619.6        1.47857        1478.57         1.21091       0.134144        134.144
  accept        0.499975          3.6505     0.00348556        3.48556         16627.3         1.4782         1478.2       -0.554315        0.13455         134.55
  accept         0.49988         3.61631     0.00346284        3.46284         16607.7        1.48204        1482.04        0.228395       0.134396        134.396
       1        0.499803         3.63076      0.0034423        3.44229         16604.5        1.48173        1481.73       0.0462714       0.133902        133.902
       2         0.49983         3.57941     0.00340252        3.40252         16607.6         1.4778         1477.8       -0.178353       0.134275        134.275
       3        0.500249         3.58606      0.0033924         3.3924         16612.4        1.47382        1473.82       -0.203524       0.134486        134.486
       4         0.49991         3.63491     0.00344168        3.44167         16623.6        1.47984        1479.83       -0.481734       0.134333        134.333
       5        0.499741         3.62387     0.00344084        3.44084         16614.3        1.48242        1482.42       0.0464936       0.134743        134.743
       6        0.500321         3.63582     0.00344813        3.44813         16613.2        1.47861         1478.6     -0.00948649       0.134477        134.477
       7        0.499732         3.65135     0.00347544        3.47544         16611.5        1.47888        1478.88         1.09414       0.134046        134.046
       8        0.500523         3.64527     0.00347166        3.47166         16609.9        1.46858        1468.58      -0.0106764       0.134334        134.334
   total        0.500238         3.62229     0.00243207        3.43946         16612.1        1.04491        1477.73       0.0717693      0.0949826        134.326

    mode      occupation             +/-         std dev
     -20         1.22612     0.000861293         1.21805
     -19         1.31068     0.000916565         1.29622
     -18         1.40607     0.000985807         1.39414
     -17         1.51071      0.00105551         1.49272
     -16         1.61656      0.00112925           1.597
     -15         1.73481      0.00120829         1.70878
     -14         1.86151      0.00129499         1.83139
     -13         2.00264      0.00138964         1.96525
     -12         2.14326      0.00148318         2.09753
     -11         2.28924      0.00157843         2.23224
     -10         2.44781       0.0016852         2.38323
      -9         2.61149      0.00179329         2.53609
      -8         2.77675        0.001901         2.68842
      -7         2.94135       0.0020054         2.83607
      -6         3.09092      0.00210352         2.97483
      -5         3.23282       0.0021916         3.09939
      -4         3.36721      0.00227586         3.21856
      -3         3.45015      0.00233435         3.30127
      -2         3.54622      0.00238847          3.3778
      -1         3.61499      0.00243326         3.44115
       0         3.62229      0.00243207         3.43946
       1         3.59038       0.0024126         3.41193
       2         3.56341      0.00240257         3.39775
       3         3.47071      0.00234148         3.31135
       4         3.37723      0.00228229         3.22765
       5          3.2387      0.00219559         3.10504
       6          3.0842      0.00209932         2.96888
       7         2.92921      0.00199749         2.82487
       8         2.77131      0.00189668         2.68231
       9         2.61599        0.001801           2.547
      10         2.45168      0.00169136         2.39195
      11         2.29632      0.00158463         2.24101
      12         2.14098       0.0014794         2.09219
      13         2.00226      0.00139044         1.96638
      14         1.85954      0.00128946         1.82358
      15         1.73418      0.00120623         1.70587
      16         1.61491      0.00112836         1.59575
      17         1.50815      0.00105463         1.49147
      18          1.4081     0.000984749         1.39264
      19         1.31277     0.000920165         1.30131
      20         1.22639     0.000861815         1.21879
