   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.524972         3.42222     0.00325073        3.25073         17753.8        1.60239        1602.39        0.323138       0.139746        139.746
  accept        0.500383           3.425     0.00326742        3.26742         17749.3        1.59211        1592.11        -1.07231        0.13911         139.11
  accept        0.499814         3.41068     0.00325679        3.25679         17755.6        1.59308        1593.08       -0.456188       0.139445        139.445
  accept        0.500014          3.3919     0.00321749        3.21749         17743.3        1.60221        1602.21        0.189298        0.13938         139.38
       1        0.499676         3.35506     0.00317986        3.17986         17776.6         1.5917         1591.7      -0.0372978       0.139047        139.047
       2        0.500488          3.4086     0.00326621         3.2662         17739.4        1.60376        1603.76         0.20213       0.139181        139.181
       3        0.499564         3.40628     0.00326118        3.26118         17757.1         1.5921         1592.1        0.184536       0.139265        139.265
       4        0.500545         3.37517     0.00321944        3.21944         17773.8        1.60156        1601.56       0.0798598       0.139573        139.573
       5        0.499731         3.40982     0.00326545        3.26544         17748.1        1.58439        1584.39       -0.623179       0.139011        139.011
       6        0.499822         3.44116     0.00327584        3.27584         17760.4        1.59628        1596.28        0.704212       0.138914        138.914
       7        0.500081         3.43647     0.00324439        3.24438         17745.4        1.59522        1595.21        0.211006       0.138813        138.813
       8        0.500246         3.38867     0.00323104        3.23104         17749.7        1.60309        1603.09       -0.764773       0.139246        139.245
   total        0.499719         3.40239     0.00229299        3.24278         17756.4        1.12865        1596.16      -0.0273698      0.0983757        139.124

    mode      occupation             +/-         std dev
     -21         1.19674     0.000839386         1.18707
     -20         1.27447     0.000892376         1.26201
     -19         1.36015     0.000951458         1.34556
     -18         1.45049      0.00101526         1.43579
     -17         1.54865      0.00108245         1.53081
     -16         1.65384      0.00115142         1.62835
     -15         1.76684       0.0012284         1.73722
     -14         1.88115      0.00130769         1.84935
     -13         2.00542      0.00138942         1.96494
     -12         2.13805      0.00147658         2.08819
     -11          2.2628       0.0015616         2.20843
     -10         2.41791      0.00166285         2.35162
      -9         2.54922      0.00174523         2.46812
      -8         2.69252      0.00183747         2.59857
      -7         2.84394      0.00193594         2.73783
      -6         2.97942      0.00202841         2.86861
      -5         3.08435      0.00209437         2.96188
      -4         3.19407      0.00216156         3.05691
      -3         3.27211      0.00220936         3.12451
      -2         3.34763      0.00226054         3.19688
      -1          3.3888      0.00228718         3.23456
       0         3.40239      0.00229299         3.24278
       1         3.38956      0.00228171         3.22682
       2          3.3381      0.00224716         3.17796
       3         3.27234      0.00220857         3.12339
       4         3.19828      0.00216571         3.06277
       5         3.08371      0.00209201         2.95855
       6         2.95822      0.00201608         2.85116
       7         2.83265       0.0019298         2.72915
       8         2.69611        0.001844          2.6078
       9         2.56043      0.00175354         2.47989
      10         2.41791      0.00166109         2.34914
      11         2.26087      0.00155907         2.20486
      12         2.13937      0.00147848         2.09088
      13         2.00626      0.00138821         1.96323
      14         1.88545      0.00130884         1.85098
      15         1.76446      0.00122736         1.73575
      16          1.6515      0.00115232         1.62963
      17         1.54953      0.00108099         1.52876
      18         1.45321      0.00101642         1.43744
      19          1.3583     0.000951138         1.34511
      20         1.27565     0.000894376         1.26484
      21         1.19713     0.000840632         1.18883
