   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.524528         3.21366     0.00306429        3.06429         18953.7        1.72739        1727.39        0.237342       0.144086        144.086
  accept        0.499975         3.12882     0.00297854        2.97854         18982.1        1.71598        1715.98       -0.107035       0.144043        144.043
       1        0.500079         3.24295     0.00310467        3.10466         18955.2        1.73406        1734.06       -0.668065       0.143258        143.258
       2        0.500509         3.19684     0.00303442        3.03442         18982.3        1.72338        1723.38        0.418234       0.144685        144.685
       3        0.499613         3.21513     0.00306622        3.06622         18963.7        1.72916        1729.16        0.681785       0.143762        143.762
       4        0.499857         3.19891       0.003049          3.049         18957.4        1.72575        1725.74       -0.315391       0.143501        143.501
       5        0.500099         3.22452     0.00308968        3.08968         18964.3        1.72384        1723.84        0.100249       0.143585        143.585
       6        0.499492         3.24055     0.00308275        3.08275         18950.5        1.72448        1724.48         0.74953        0.14417         144.17
       7        0.500286         3.22873     0.00307275        3.07275         18970.7        1.72167        1721.67      -0.0731095        0.14387         143.87
       8        0.500315         3.21676     0.00308311        3.08311         18976.8        1.72224        1722.24       0.0732184       0.144128        144.128
   total        0.500135          3.2209     0.00217307        3.07318         18965.1         1.2204        1725.91        0.149152       0.101763        143.914

    mode      occupation             +/-         std dev
     -22         1.16955     0.000820562         1.16045
     -21         1.24474     0.000873098         1.23475
     -20         1.31784     0.000921759         1.30356
     -19         1.40079     0.000978142          1.3833
     -18         1.48329      0.00103614         1.46533
     -17         1.58217      0.00110167         1.55799
     -16         1.67456      0.00116634         1.64945
     -15         1.77699      0.00123402         1.74517
     -14          1.8876      0.00130798         1.84976
     -13          2.0037      0.00138519         1.95896
     -12         2.12965      0.00146957         2.07828
     -11         2.24967      0.00154795         2.18913
     -10         2.36956      0.00162754         2.30169
      -9         2.48634      0.00170469         2.41079
      -8         2.60822      0.00178026         2.51767
      -7         2.73707      0.00186873         2.64279
      -6         2.83436      0.00192908         2.72813
      -5         2.94557      0.00199757         2.82498
      -4         3.03278      0.00205288         2.90321
      -3         3.09404      0.00209527         2.96316
      -2          3.1545      0.00213192         3.01499
      -1         3.19858      0.00215895         3.05321
       0          3.2209      0.00217307         3.07318
       1         3.19127      0.00215677         3.05013
       2          3.1569      0.00213193         3.01501
       3         3.11446      0.00210375         2.97515
       4         3.03432      0.00205565         2.90713
       5         2.93833      0.00199563         2.82224
       6         2.84397      0.00193328         2.73407
       7          2.7272      0.00185768         2.62716
       8         2.61394       0.0017865         2.52649
       9         2.48838      0.00170706         2.41414
      10         2.36752      0.00162527         2.29848
      11         2.24527      0.00154556         2.18575
      12         2.12342      0.00146816         2.07629
      13          2.0056      0.00138617         1.96035
      14         1.88464       0.0013071         1.84852
      15         1.78352      0.00123882         1.75196
      16         1.67622       0.0011669         1.65024
      17         1.57541      0.00109861         1.55367
      18         1.48912      0.00103793         1.46786
      19         1.39887     0.000977763         1.38276
      20         1.31957     0.000923379         1.30586
      21         1.24557     0.000872516         1.23392
      22           1.174     0.000823397         1.16446
