   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.524139         3.05972     0.00291323        2.91323         20239.7        1.84916        1849.16       0.0506359       0.149195        149.195
  accept        0.499355         3.07751     0.00292822        2.92822         20223.7        1.85894        1858.94         -1.2474       0.148985        148.985
  accept        0.500691         3.03051     0.00287886        2.87886         20235.8         1.8479         1847.9        0.540229       0.148752        148.752
  accept        0.499648         3.01274     0.00285327        2.85327           20232        1.83642        1836.42        0.795264       0.148858        148.858
  accept        0.500031         3.03958     0.00288394        2.88394         20226.7        1.84729        1847.29       -0.350853       0.148926        148.926
       1         0.49972         3.03971     0.00291205        2.91205         20224.5        1.85532        1855.32        -1.50528       0.147966        147.965
       2        0.500336         3.01649     0.00288654        2.88654         20228.3        1.84324        1843.24       -0.141707       0.148325        148.324
       3        0.499756         3.01768     0.00288876        2.88876         20245.8        1.85812        1858.12      -0.0899762       0.148862        148.862
       4        0.500577         3.03597     0.00289244        2.89244         20231.2        1.84675        1846.75         1.05324       0.149207        149.207
       5        0.499582         3.03085     0.00288229        2.88229           20245        1.85144        1851.43       -0.319132       0.149164        149.164
       6        0.499289         3.02618     0.00288888        2.88888         20196.1        1.85165        1851.65         1.38378       0.148446        148.446
       7        0.500569         3.03979     0.00290856        2.90856         20222.2        1.84695        1846.95       0.0393628       0.148934        148.934
       8        0.500524         3.03124     0.00290943        2.90943         20232.2        1.84531        1845.31        0.276614       0.148826        148.825
   total        0.499731         3.03013     0.00204835         2.8968           20228        1.30804        1849.85       0.0462843       0.105149        148.703

    mode      occupation             +/-         std dev
     -23         1.14303     0.000802576         1.13501
     -22         1.20892      0.00084656         1.19722
     -21         1.27659     0.000893583         1.26372
     -20         1.34964     0.000942561         1.33298
     -19         1.43092     0.000998594         1.41222
     -18         1.51174      0.00105449         1.49127
     -17         1.59869      0.00111289         1.57386
     -16         1.69274      0.00117361         1.65973
     -15         1.78909      0.00124059         1.75446
     -14         1.88578      0.00130411         1.84428
     -13         1.99015      0.00137404         1.94319
     -12         2.10076        0.001448         2.04778
     -11         2.20828      0.00151904         2.14825
     -10         2.32742      0.00159523         2.25599
      -9          2.4258      0.00165985         2.34738
      -8         2.52922      0.00172799         2.44375
      -7         2.63671      0.00179777         2.54243
      -6         2.72564      0.00185503         2.62341
      -5          2.8104      0.00190865         2.69924
      -4          2.8874      0.00195584         2.76598
      -3         2.95047      0.00200059         2.82926
      -2         2.99588      0.00202393         2.86226
      -1          3.0103      0.00203703          2.8808
       0         3.03013      0.00204835          2.8968
       1          3.0158      0.00203584         2.87911
       2          2.9957      0.00202671         2.86621
       3         2.94344      0.00199607         2.82287
       4         2.88911      0.00195947         2.77111
       5         2.80653      0.00190744         2.69753
       6         2.73096      0.00186003         2.63048
       7         2.63628      0.00179892         2.54405
       8         2.52979      0.00172545         2.44016
       9         2.41999      0.00165667         2.34288
      10         2.31626      0.00159037         2.24913
      11         2.21182      0.00152291         2.15372
      12           2.101      0.00144555         2.04432
      13         1.99251      0.00137559         1.94537
      14         1.88814      0.00130875         1.85086
      15         1.78727      0.00123632         1.74842
      16          1.6957      0.00117692         1.66442
      17         1.60056      0.00111365         1.57494
      18         1.51123      0.00105251         1.48847
      19          1.4329      0.00100032         1.41466
      20         1.35077     0.000945125         1.33661
      21         1.27867     0.000895494         1.26642
      22         1.20683     0.000845851         1.19621
      23         1.14303     0.000801891         1.13404
