   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.523182         2.88948     0.00277305        2.77304         21581.1        1.98017        1980.17        0.504784       0.153196        153.196
    init        0.522961         2.88958      0.0027776         2.7776         21539.6        1.98562        1985.62        0.137262       0.153205        153.205
  accept         0.50003         2.87003     0.00274054        2.74054           21559        1.98356        1983.56        0.941511       0.152748        152.748
  accept        0.499988         2.86634     0.00273364        2.73363         21553.5        1.98032        1980.32       -0.184429       0.153847        153.847
       1        0.500035         2.84583     0.00271808        2.71807         21565.7        1.98632        1986.32         1.03951       0.153534        153.533
       2        0.500067         2.86452     0.00274301        2.74301           21552        1.99018        1990.17       -0.398364       0.153045        153.045
       3        0.499882         2.86884     0.00275116        2.75116         21558.1        1.98727        1987.27       -0.796955       0.152804        152.804
       4        0.500153         2.85924     0.00272894        2.72894         21600.2        1.98118        1981.18       -0.643216       0.153003        153.003
       5        0.499776         2.87431     0.00273678        2.73677         21560.2        1.97599        1975.99        -1.42823       0.152894        152.894
       6        0.500213         2.87967     0.00273717        2.73717         21574.3        1.98057        1980.57       0.0141085        0.15311        153.109
       7        0.499918          2.8482     0.00271433        2.71433         21545.4        1.99205        1992.05        0.302261       0.152666        152.666
       8        0.500131         2.83761     0.00271901        2.71901           21585        1.98502        1985.02       -0.424077       0.153419        153.419
   total        0.500194         2.86015     0.00193126        2.73121         21567.9        1.40368         1985.1       -0.289513       0.108259        153.102

    mode      occupation             +/-         std dev
     -24         1.11919     0.000784516         1.10947
     -23         1.18168     0.000827865         1.17078
     -22         1.24115     0.000869039         1.22901
     -21         1.30964     0.000915854         1.29521
     -20         1.37907     0.000963121         1.36206
     -19         1.45548      0.00101413          1.4342
     -18         1.52977      0.00106448          1.5054
     -17         1.61515      0.00112237         1.58728
     -16         1.69892      0.00117902         1.66738
     -15         1.78942      0.00123874         1.75184
     -14         1.87747       0.0012984         1.83622
     -13         1.97974      0.00136851         1.93537
     -12         2.07208      0.00142451         2.01456
     -11         2.17036      0.00149119         2.10886
     -10         2.26859      0.00155335         2.19676
      -9         2.35728      0.00160883         2.27523
      -8         2.44648      0.00166941          2.3609
      -7         2.54228      0.00173454         2.45301
      -6         2.61319      0.00177647          2.5123
      -5          2.6945      0.00183465         2.59459
      -4         2.74165      0.00185798         2.62758
      -3         2.79311      0.00189197         2.67564
      -2         2.84012      0.00192488          2.7222
      -1         2.85908      0.00193609         2.73804
       0         2.86015      0.00193126         2.73121
       1         2.86041      0.00193469         2.73606
       2         2.83227      0.00191921         2.71417
       3         2.80203      0.00189894          2.6855
       4         2.75765      0.00187127         2.64638
       5         2.69261      0.00182665         2.58327
       6         2.61203      0.00177642         2.51224
       7         2.54195      0.00173453           2.453
       8         2.44847      0.00166966         2.36125
       9         2.35861      0.00161601         2.28538
      10         2.26509      0.00155144         2.19406
      11         2.16248       0.0014855         2.10082
      12         2.07309      0.00142705         2.01815
      13         1.97009      0.00135715          1.9193
      14         1.87689      0.00129769         1.83521
      15         1.78383      0.00123399         1.74513
      16         1.69741      0.00117693         1.66444
      17         1.61393      0.00112101         1.58534
      18         1.52718      0.00106267         1.50284
      19         1.45698      0.00101683         1.43802
      20         1.37922     0.000961404         1.35963
      21         1.31199     0.000916598         1.29627
      22         1.24075     0.000866955         1.22606
      23         1.17752     0.000823666         1.16484
      24         1.12197       0.0007869         1.11284
