   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init          0.5224          2.7356     0.00262902        2.62902         22953.7        2.12627        2126.26        0.561224       0.157546        157.546
    init        0.522395         2.72022     0.00261636        2.61635         22949.6        2.12555        2125.55        0.243198       0.157514        157.514
  accept        0.499862         2.72262     0.00260251        2.60251         22970.3        2.12112        2121.12       0.0521812        0.15725         157.25
       1         0.49993         2.72889     0.00261453        2.61453         22964.1        2.12431        2124.31       -0.520586       0.157673        157.673
       2        0.499322         2.72836     0.00260984        2.60983         22958.4        2.13317        2133.17         1.35258       0.158141        158.141
       3        0.500761         2.70408      0.0025793         2.5793         22956.7        2.11298        2112.98        0.598487        0.15774         157.74
       4        0.500579         2.72187      0.0025955         2.5955         22971.1        2.11894        2118.94       -0.224764       0.157527        157.527
       5        0.499348         2.73191     0.00262421        2.62421         22948.6        2.12549        2125.49        0.152973       0.157628        157.628
       6        0.500238         2.71281      0.0025842         2.5842         22970.2        2.11682        2116.82       0.0465037        0.15693         156.93
       7        0.499729         2.72767     0.00261824        2.61824         22957.3        2.13101        2131.01        0.455182       0.158034        158.034
       8        0.500367         2.70858      0.0025889         2.5889         22964.9         2.1128        2112.79       -0.624854       0.157464        157.464
   total        0.500076         2.72007     0.00183933         2.6012         22961.2        1.50063         2122.2        0.161918       0.111502        157.688

    mode      occupation             +/-         std dev
     -25          1.0956     0.000767796         1.08583
     -24         1.15048     0.000805992         1.13984
     -23         1.20679     0.000845013         1.19503
     -22         1.26853     0.000886431          1.2536
     -21         1.32868     0.000926974         1.31094
     -20          1.3993      0.00097478         1.37855
     -19         1.47137      0.00102357         1.44755
     -18         1.54212      0.00107048         1.51388
     -17         1.61915      0.00112171         1.58633
     -16         1.69667      0.00117455         1.66107
     -15         1.78388      0.00123401         1.74515
     -14         1.86082      0.00128488         1.81709
     -13         1.95368      0.00134425         1.90106
     -12         2.03751      0.00140252         1.98346
     -11         2.11753      0.00145216         2.05366
     -10         2.20264      0.00151008         2.13557
      -9         2.28278      0.00156136          2.2081
      -8         2.37279      0.00161925         2.28996
      -7         2.44717      0.00166497         2.35462
      -6         2.50499      0.00170306         2.40849
      -5           2.576      0.00175276         2.47877
      -4         2.62695      0.00177957         2.51669
      -3         2.66939      0.00181283         2.56373
      -2         2.69394      0.00182665         2.58327
      -1         2.72499      0.00184415         2.60802
       0         2.72007      0.00183933          2.6012
       1         2.72073      0.00184124         2.60391
       2          2.7015      0.00182895         2.58652
       3         2.67061      0.00181343         2.56458
       4         2.63015      0.00178602         2.52581
       5         2.56722      0.00174647         2.46989
       6         2.51775      0.00171399         2.42395
       7         2.43668      0.00166048         2.34828
       8         2.37127      0.00161663         2.28626
       9         2.29046      0.00156624           2.215
      10         2.20071      0.00150382         2.12672
      11          2.1205      0.00145468         2.05722
      12         2.03362      0.00139783         1.97683
      13          1.9505      0.00134209           1.898
      14         1.86719      0.00128916         1.82314
      15         1.78308      0.00123278         1.74342
      16         1.69362      0.00117248         1.65814
      17         1.62302      0.00112478         1.59067
      18         1.54296      0.00107292         1.51734
      19         1.46904      0.00102202         1.44536
      20         1.39777     0.000973012         1.37605
      21         1.33342      0.00092997         1.31518
      22         1.27176      0.00088882         1.25698
      23         1.20999     0.000847956         1.19919
      24          1.1508     0.000807246         1.14162
      25         1.09185     0.000765252         1.08223
