   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.506351         51.4536      0.0237709        23.7709         5450.82       0.150842        150.842         1.49151      0.0312281        31.2281
    init        0.506219         50.0308      0.0253208        25.3208          5451.9        0.14743         147.43         8.39412      0.0348915        34.8915
    init        0.506422         47.0534      0.0257105        25.7105         5464.54       0.155884        155.884        -10.0989       0.042129         42.129
    init         0.50599         54.3498      0.0235511        23.5511         5440.54       0.148231         148.23        -3.93228      0.0311926        31.1926
    init        0.506146         50.8078      0.0240974        24.0974         5453.24       0.149528        149.528        -7.00102      0.0339533        33.9533
    init        0.506509         51.6395      0.0244305        24.4305         5453.35       0.150426        150.426         6.88615      0.0337733        33.7732
    init        0.506082         49.8954      0.0253604        25.3604         5453.53       0.148958        148.958        -4.68954      0.0368352        36.8352
    init        0.506132         51.1331       0.024571         24.571         5452.86       0.148501        148.501         2.87027      0.0352822        35.2822
    init        0.506222         52.4618      0.0236373        23.6373         5447.21       0.147638        147.638        -2.63704      0.0286358        28.6358
    init        0.506174         47.7223      0.0250277        25.0277         5458.39       0.149075        149.074         8.06365      0.0386008        38.6008
    init        0.506147         49.0076      0.0251913        25.1913         5450.44       0.148176        148.176         4.77279      0.0360444        36.0444
    init        0.506088         52.2949      0.0236285        23.6285         5448.45       0.148082        148.082         4.35034      0.0328255        32.8254
    init        0.506386         49.0383      0.0252965        25.2964         5453.25       0.145926        145.926        -3.54426      0.0359913        35.9913
    init        0.506105         53.2388      0.0232339        23.2339         5447.55       0.149701        149.701        -2.57724      0.0286123        28.6123
    init        0.505884         56.2945      0.0224384        22.4384         5434.41       0.144614        144.614        0.756726      0.0252077        25.2076
    init        0.505934         51.5884      0.0240406        24.0406         5447.43        0.14739         147.39        -2.24533      0.0348715        34.8715
    init        0.506069         51.1666      0.0241715        24.1715         5451.25       0.150088        150.088        -7.94842      0.0328923        32.8923
    init        0.506123         49.6789       0.024792         24.792         5457.84       0.150425        150.425         1.95509      0.0380123        38.0123
    init        0.506362          53.476      0.0230083        23.0083         5441.41       0.145152        145.152         2.48159      0.0288016        28.8016
    init        0.506179         48.6748      0.0247267        24.7267         5457.94       0.149042        149.042         5.86101      0.0368354        36.8353
    init        0.506167         51.8651      0.0233855        23.3855         5446.53       0.150619        150.619         3.52834      0.0317018        31.7018
    init        0.506253          48.443      0.0260602        26.0602         5461.14       0.154943        154.943         -3.6703      0.0402759        40.2759
    init         0.50611         51.0262      0.0245384        24.5384         5452.18       0.147701        147.701         2.31919      0.0313827        31.3826
    init        0.506049         49.9605      0.0242565        24.2565         5452.43       0.145785        145.785        -3.91859      0.0344129        34.4129
    init        0.505907         50.4293      0.0248693        24.8692         5455.86       0.149812        149.812       -0.396493      0.0377428        37.7428
    init        0.506312         49.1857      0.0249545        24.9545         5455.98       0.149334        149.334         2.71641      0.0397833        39.7833
    init        0.506421         48.1909      0.0259575        25.9575         5462.53       0.153719        153.719         1.08067      0.0390117        39.0116
    init        0.506262         49.5426      0.0246979        24.6979         5456.94       0.149714        149.714        -3.69515      0.0375659        37.5659
    init        0.505841         51.5744      0.0242755        24.2754         5450.37       0.148949        148.949        -1.27385      0.0356869        35.6869
    init        0.506236         50.1224      0.0249461         24.946         5449.85       0.147101        147.101        0.784479      0.0370044        37.0044
    init        0.506351          46.313      0.0258759        25.8758         5460.13       0.150556        150.556         -1.7127      0.0427676        42.7675
    init         0.50612         51.5976      0.0238497        23.8497         5450.59       0.151801        151.801         2.68043      0.0291244        29.1244
    init        0.506112          48.488      0.0247053        24.7053            5457       0.151341        151.341        -1.79738       0.036118         36.118
    init        0.506215          44.568      0.0270497        27.0496          5463.5       0.148667        148.667         8.18588      0.0449596        44.9596
    init        0.506358         45.3192        0.02652          26.52         5462.57         0.1487          148.7         11.7817      0.0432147        43.2146
    init         0.50636         51.0957      0.0246728        24.6728          5452.4       0.147827        147.827         5.38751      0.0359708        35.9708
    init        0.506201         45.0729      0.0269891        26.9891         5463.65       0.149481        149.481        -8.44369      0.0456623        45.6622
    init        0.506207         52.7664       0.023506         23.506         5445.31       0.153877        153.877        -1.19407      0.0295838        29.5838
    init        0.506155         46.1749      0.0253507        25.3507          5466.8       0.152968        152.968        -2.72991       0.041637        41.6369
    init         0.50612          47.398      0.0254096        25.4096         5464.04        0.15172        151.719        -8.67613      0.0409692        40.9692
    init        0.506356         49.0717      0.0256491        25.6491         5452.09       0.149073        149.073        -1.33211      0.0371707        37.1707
    init        0.506247         45.9067      0.0255388        25.5388          5461.4       0.148762        148.762         10.1339      0.0404714        40.4714
    init        0.506524         52.6499      0.0232112        23.2112         5449.49       0.150253        150.253       -0.719996      0.0293212        29.3212
    init        0.505976         49.9127      0.0236694        23.6693         5456.25       0.151368        151.368         5.83087      0.0328029        32.8029
    init        0.506011         50.8175      0.0245754        24.5754         5450.28       0.149235        149.235        -5.01355      0.0319393        31.9392
