   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.529745         9.42535     0.00861886        8.61885          7806.5       0.486973        486.973       -0.660001      0.0780671        78.0671
    init        0.529469         9.40404      0.0084806        8.48059         7804.56       0.491711        491.711        0.611719      0.0780864        78.0864
    init        0.529547         9.71485     0.00888159        8.88159         7793.99       0.488522        488.522        0.663709      0.0776431         77.643
    init        0.529703         9.55148     0.00856886        8.56886         7802.78       0.488489        488.489       -0.562303      0.0778738        77.8738
    init        0.529695         9.43342     0.00857404        8.57403         7807.34       0.491899        491.898        -2.15966      0.0781501          78.15
    init        0.529908         9.57776      0.0085478         8.5478          7805.8       0.488712        488.712        0.658667      0.0785662        78.5662
    init        0.529521         9.45243     0.00858851        8.58851         7805.23       0.487052        487.052       -0.141141      0.0779325        77.9325
  accept        0.500003          9.3231     0.00850424        8.50423         7795.48       0.489224        489.224       -0.551774      0.0779169        77.9168
  accept        0.500262         9.46815     0.00852632        8.52631         7798.28       0.489664        489.664        0.167648      0.0780582        78.0581
       1        0.499726         9.64617     0.00870762        8.70762         7797.71       0.491153        491.152        0.387531      0.0784012        78.4011
       2        0.500124         9.63393      0.0086471        8.64709          7807.9       0.488907        488.906         0.54041      0.0782228        78.2227
       3        0.499996         9.58307      0.0088676         8.8676         7796.29       0.493237        493.237        0.400657      0.0780953        78.0952
       4        0.499975         9.30317     0.00847985        8.47984         7803.76        0.49049         490.49       -0.630521      0.0774595        77.4595
       5         0.49993         9.45246     0.00857115        8.57115         7793.37       0.486321        486.321        0.353975      0.0776195        77.6195
       6        0.499789         9.39979     0.00855882        8.55882         7801.86       0.488711        488.711        0.530401      0.0783375        78.3374
       7        0.500088         9.49037     0.00857271         8.5727          7792.9       0.487883        487.883        -1.42578      0.0778474        77.8473
       8        0.500131         9.62998     0.00873556        8.73556         7803.61       0.488923        488.923        0.391387       0.078184         78.184
   total        0.500087         9.51674     0.00611149        8.64295         7799.74       0.346084        489.436       0.0661147      0.0551669        78.0178

    mode      occupation             +/-         std dev
     -10         1.56936      0.00110637         1.56464
      -9         1.87769      0.00131909         1.86547
      -8         2.26928      0.00159388         2.25408
      -7         2.77003      0.00193838         2.74128
      -6         3.42593      0.00238073         3.36687
      -5         4.27607      0.00294726         4.16805
      -4         5.36181      0.00365902         5.17464
      -3         6.61202      0.00444489         6.28602
      -2         7.95684      0.00523064         7.39723
      -1         9.13386      0.00590157         8.34608
       0         9.51674      0.00611149         8.64295
       1         9.06114      0.00587663          8.3108
       2         7.96919      0.00525553         7.43244
       3         6.64793      0.00446474          6.3141
       4         5.33225      0.00364129         5.14956
       5         4.31736      0.00298601         4.22285
       6         3.43105      0.00239253         3.38354
       7         2.76512      0.00193689         2.73918
       8         2.25789      0.00158169         2.23685
       9         1.87888      0.00132078         1.86787
      10         1.56958      0.00110477         1.56238
