   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init         0.53085         8.19236     0.00745033        7.45033         8384.44       0.561894        561.894      -0.0520525      0.0842777        84.2777
  accept         0.50028         8.16254     0.00758282        7.58281          8393.2       0.561049        561.049       -0.461781      0.0843602        84.3602
  accept        0.499698         8.29039     0.00763029        7.63028          8383.6       0.564447        564.447        -0.59189      0.0839055        83.9055
  accept        0.500016         8.24421     0.00749527        7.49526         8386.84       0.561349        561.348       -0.176527      0.0840864        84.0863
       1        0.500596         8.20698     0.00758838        7.58838         8390.87       0.561896        561.896        0.796941      0.0845659        84.5658
       2        0.499551         8.18448     0.00751286        7.51286          8392.2       0.561693        561.693        -1.05248      0.0847767        84.7766
       3        0.499842         8.20595     0.00755411         7.5541         8382.78       0.563357        563.356     -0.00836851      0.0845081         84.508
       4        0.500506         8.19824     0.00749341         7.4934         8386.85       0.565176        565.176        0.711738      0.0843045        84.3045
       5        0.499646         8.00948     0.00738531        7.38531         8391.11       0.558888        558.888         1.01625      0.0849446        84.9445
       6        0.499903         8.23691      0.0075907         7.5907         8376.65       0.563558        563.558        0.166145      0.0839894        83.9893
       7        0.500317         8.29207     0.00751425        7.51425         8386.66       0.561051        561.051       -0.135714      0.0844442        84.4441
       8        0.499864          8.2475     0.00758706        7.58706         8390.97       0.563775        563.775         -1.0389      0.0845277        84.5277
   total        0.499596         8.19684      0.0053232        7.52814         8387.25       0.397763        562.521        0.062422      0.0597504        84.4997

    mode      occupation             +/-         std dev
     -11         1.53584      0.00108346         1.53225
     -10         1.80219      0.00127035         1.79655
      -9         2.12666      0.00149038         2.10771
      -8         2.53268      0.00176929         2.50215
      -7         3.03705      0.00211441         2.99022
      -6         3.67719      0.00255009         3.60637
      -5         4.40164      0.00303108         4.28659
      -4         5.31011       0.0035925         5.08057
      -3         6.27739      0.00419361         5.93065
      -2         7.26657      0.00479944         6.78743
      -1         7.95137      0.00516322         7.30189
       0         8.19684       0.0053232         7.52814
       1         7.90497      0.00515199         7.28601
       2         7.24091      0.00476654          6.7409
       3          6.2865      0.00420307         5.94403
       4         5.31495      0.00360756         5.10186
       5         4.44044      0.00303934         4.29828
       6         3.66279      0.00252626         3.57267
       7          3.0328      0.00211229         2.98723
       8         2.53002      0.00176793         2.50023
       9         2.13325      0.00149635         2.11615
      10         1.80288       0.0012665         1.79111
      11         1.53499      0.00108367         1.53253
