   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.532183         7.09284     0.00659752        6.59751         9024.68       0.643357        643.356         1.02255       0.090909        90.9089
    init        0.531769         7.11219     0.00661863        6.61863         9013.46       0.635703        635.703        0.487429      0.0906354        90.6354
    init        0.531725         7.18305     0.00657962        6.57961         9014.69       0.637516        637.516        0.617813      0.0906352        90.6351
    init        0.531631         7.25864     0.00673072        6.73072         9008.78       0.640338        640.338       -0.670519      0.0906064        90.6063
    init        0.531809         7.17501     0.00660374        6.60373         9013.25       0.640661        640.661        -1.29768      0.0903169        90.3169
    init        0.532053         7.16727     0.00655076        6.55076         9016.69       0.644149        644.148         1.33614       0.090767         90.767
    init        0.531833         7.39681     0.00682294        6.82294         9006.15       0.634155        634.155        -1.28524      0.0901225        90.1225
    init        0.531601         7.32291     0.00678737        6.78736         9003.14       0.638998        638.998         1.41484       0.090281         90.281
    init        0.531977         7.29886     0.00670662        6.70662         9014.41       0.638492        638.492        0.223206      0.0907719        90.7719
  accept        0.499948         7.19762     0.00662642        6.62641         9012.86       0.637083        637.083         1.04566      0.0905948        90.5947
  accept        0.499917         7.21097     0.00668958        6.68958         9013.91       0.640792        640.792        0.659988      0.0907058        90.7058
  accept        0.500004         7.22732     0.00671641         6.7164         9013.84        0.63753        637.529        0.157367      0.0904329        90.4329
       1        0.499994         7.20421     0.00668431         6.6843         9010.39       0.635702        635.702        0.974501      0.0900958        90.0957
       2        0.500048         7.23443     0.00668782        6.68782         9019.06       0.641328        641.328      -0.0245207      0.0906343        90.6343
       3        0.499874          7.2946     0.00672858        6.72857         9009.11       0.638732        638.732        0.345883      0.0898006        89.8006
       4        0.499965         7.27749     0.00672825        6.72825         9011.23       0.641513        641.513         1.28808      0.0905049        90.5049
       5        0.500208         7.19407     0.00663901        6.63901         9024.59       0.641903        641.903        0.449136      0.0908856        90.8855
       6        0.499695         7.27016     0.00666832        6.66832         9014.84       0.636816        636.815      -0.0643487      0.0903771         90.377
       7        0.500215         7.35842     0.00682878        6.82878         9014.74       0.642013        642.012       -0.112988      0.0901051        90.1051
       8        0.499795         7.23057     0.00671281         6.7128         9011.15       0.635866        635.866        0.737072       0.090711        90.7109
   total        0.499723         7.25748      0.0047436        6.70847         9014.29       0.452059        639.308        0.449473      0.0639115        90.3845

    mode      occupation             +/-         std dev
     -12         1.49966      0.00105423         1.49091
     -11         1.72879      0.00121513         1.71845
     -10         1.99378      0.00140165         1.98223
      -9         2.33644      0.00162965         2.30467
      -8          2.7201      0.00189481         2.67967
      -7         3.19959      0.00221541         3.13306
      -6         3.78111       0.0026045         3.68331
      -5         4.43611      0.00303009          4.2852
      -4         5.14764      0.00347198         4.91013
      -3         5.89465      0.00394256         5.57562
      -2         6.55802      0.00432714          6.1195
      -1         7.02981      0.00461024         6.51986
       0         7.25748       0.0047436         6.70847
       1          7.0152      0.00458923         6.49015
       2         6.63151       0.0043679         6.17714
       3         5.87577      0.00392804         5.55509
       4         5.16273      0.00349452           4.942
       5         4.43723      0.00302705         4.28089
       6         3.77889       0.0025974         3.67327
       7         3.21576      0.00222046          3.1402
       8         2.73189      0.00190673         2.69652
       9         2.32955      0.00162869         2.30332
      10         1.99997      0.00140269          1.9837
      11         1.73319      0.00121781         1.72224
      12         1.50511      0.00106022         1.49937
