   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.532135         5.33389     0.00499922        4.99921         11185.5       0.899857        899.857       -0.154772       0.108229        108.229
  accept        0.500013         5.36543     0.00503076        5.03076         11182.4        0.90019         900.19       -0.275865       0.107854        107.854
       1        0.500065         5.40104     0.00504703        5.04702         11182.3       0.903432        903.432          -1.229       0.107862        107.862
       2        0.499638         5.27435      0.0049387         4.9387         11191.2       0.904085        904.084       -0.405966       0.108155        108.155
       3        0.499957         5.31643     0.00499676        4.99676         11183.5       0.902828        902.828       -0.849258       0.107822        107.822
       4        0.500094         5.34165     0.00501147        5.01147         11186.7       0.896616        896.616       -0.572133       0.107912        107.912
       5         0.50019          5.3239      0.0049894         4.9894         11190.9       0.900606        900.606        0.209432       0.108281        108.281
       6        0.500067         5.30242     0.00500124        5.00124         11184.9       0.902636        902.636        0.597336       0.107579        107.578
       7        0.499447         5.35237     0.00499259        4.99259         11173.1       0.899488        899.488       -0.316708       0.107828        107.828
       8         0.50015          5.3533     0.00501118        5.01118         11176.9       0.896757        896.756       -0.167278       0.107713        107.713
   total        0.500115         5.33345     0.00353422        4.99815         11183.7       0.636817        900.595       -0.334878      0.0763036         107.91

    mode      occupation             +/-         std dev
     -15         1.38571      0.00097322         1.37634
     -14          1.5369      0.00107719         1.52337
     -13         1.70841      0.00119895         1.69556
     -12         1.91023      0.00133414         1.88675
     -11         2.13018       0.0014851         2.10025
     -10         2.38226      0.00165448         2.33979
      -9         2.66164      0.00184375         2.60746
      -8         2.98786      0.00205854         2.91121
      -7         3.32393      0.00227404         3.21597
      -6         3.70006      0.00251929         3.56281
      -5         4.07644      0.00275647         3.89824
      -4         4.45465      0.00299991         4.24252
      -3         4.81806      0.00322386         4.55922
      -2         5.03851      0.00335625         4.74646
      -1         5.23852      0.00347443         4.91359
       0         5.33345      0.00353422         4.99815
       1           5.251      0.00347239          4.9107
       2         5.03924      0.00335549         4.74538
       3         4.78868      0.00320144         4.52752
       4         4.44698      0.00300004         4.24269
       5         4.06929      0.00275617         3.89782
       6         3.71262      0.00252977         3.57764
       7         3.33829      0.00229512         3.24578
       8         2.96588      0.00204541         2.89264
       9         2.66324      0.00184062         2.60303
      10         2.38072      0.00165542         2.34111
      11         2.12821      0.00148559         2.10095
      12          1.9068      0.00133324         1.88548
      13         1.70958      0.00119708         1.69292
      14         1.53308      0.00107662         1.52257
      15         1.37957     0.000969508         1.37109
