   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.531528         4.81491     0.00450194        4.50194         12020.7        1.00678        1006.78      -0.0605941       0.113366        113.366
  accept         0.50026         4.88013     0.00458765        4.58765         12028.8        1.00143        1001.43        0.991068       0.113382        113.382
  accept        0.499684         4.86648     0.00456794        4.56794         12016.8         1.0041         1004.1       -0.340374       0.113559        113.559
       1        0.499952         4.91572     0.00462929        4.62928         12005.1       0.995417        995.417         1.12419       0.113704        113.704
       2        0.500209         4.87651     0.00461262        4.61262         12021.6         0.9967        996.699        0.372699       0.113541        113.541
       3        0.499525         4.89769     0.00455869        4.55869         11997.9       0.998933        998.932      -0.0829064       0.112785        112.785
       4        0.500284         4.83772     0.00454175        4.54175         12017.4        1.00099        1000.99       -0.322756        0.11312         113.12
       5        0.500037          4.9042     0.00461405        4.61405         12016.6        1.00267        1002.67         0.15324       0.113839        113.839
       6        0.499979         4.82002     0.00454127        4.54127         12007.6        1.00328        1003.28       -0.523265       0.113191        113.191
       7        0.500245         4.86419     0.00458158        4.58158         12013.9       0.998691         998.69       -0.755453       0.113722        113.722
       8        0.499848         4.85504      0.0045632         4.5632         12022.7       0.995171        995.171        0.199733        0.11375        113.749
   total        0.499955         4.87181     0.00323892        4.58052         12013.1       0.706617        999.308       0.0395119      0.0802276        113.459

    mode      occupation             +/-         std dev
     -16            1.35     0.000947049         1.33933
     -15         1.48286      0.00103801         1.46797
     -14          1.6304      0.00114175         1.61468
     -13         1.79892      0.00125658         1.77708
     -12         1.98949      0.00138487         1.95851
     -11         2.20401       0.0015332         2.16827
     -10         2.43113      0.00168336         2.38063
      -9         2.70242      0.00186441         2.63668
      -8         2.98632      0.00205221         2.90227
      -7         3.28073      0.00224454         3.17426
      -6         3.59427      0.00244412         3.45651
      -5         3.91328      0.00265683         3.75733
      -4          4.2225      0.00284721         4.02656
      -3         4.48383      0.00299365         4.23365
      -2         4.69204      0.00313308         4.43084
      -1         4.81493      0.00319536         4.51893
       0         4.87181      0.00323892         4.58052
       1         4.80266      0.00319887         4.52388
       2         4.67209      0.00310117         4.38572
       3         4.48452      0.00299928         4.24162
       4         4.22008      0.00284423         4.02234
       5         3.91815      0.00264826         3.74521
       6           3.593      0.00244307         3.45502
       7         3.28217      0.00224314         3.17228
       8         2.97742      0.00204439         2.89121
       9         2.69431       0.0018569         2.62605
      10         2.43624      0.00168808         2.38731
      11         2.21014       0.0015352          2.1711
      12         1.99397      0.00139085         1.96696
      13         1.80447      0.00125922         1.78081
      14         1.63282      0.00114285         1.61623
      15         1.48281      0.00104113         1.47238
      16          1.3462      0.00094472         1.33604
