   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.530753         4.50803     0.00427823        4.27823         12901.1        1.10399        1103.99       -0.143734       0.119298        119.298
  accept        0.499987          4.5022     0.00423614        4.23613         12890.6        1.10399        1103.99         0.49362       0.118877        118.877
  accept         0.49997         4.48206     0.00423053        4.23053         12902.7        1.10402        1104.02        0.256688       0.119113        119.113
       1        0.500066         4.51804     0.00423328        4.23328         12895.3        1.10619        1106.19         0.79162       0.119049        119.049
       2        0.500145         4.52177     0.00423103        4.23103           12897        1.10494        1104.94         1.12361         0.1186          118.6
       3        0.499749         4.48301     0.00423252        4.23252         12903.6        1.10295        1102.95        0.084692       0.118842        118.841
       4        0.499795         4.55631     0.00429311        4.29311         12889.7        1.10448        1104.48         0.45161       0.118594        118.594
       5        0.500404         4.53672     0.00429728        4.29728         12894.3        1.10398        1103.98       -0.633247       0.118897        118.897
       6        0.499843         4.52716     0.00426508        4.26508           12904        1.10466        1104.66       -0.417875       0.119606        119.606
       7        0.500147         4.41242     0.00418656        4.18655         12900.7        1.10312        1103.12       0.0916728       0.119383        119.383
       8        0.500031         4.56538       0.004307          4.307         12902.8        1.10293        1102.93       -0.234939       0.118851        118.851
   total        0.500331         4.51515     0.00301027        4.25717         12898.3       0.780486        1103.77         0.15982       0.084134        118.983

    mode      occupation             +/-         std dev
     -17         1.31442      0.00092333         1.30579
     -16          1.4322       0.0010035         1.41916
     -15         1.56584      0.00109352         1.54647
     -14         1.71486      0.00119822         1.69454
     -13         1.87013      0.00130726         1.84875
     -12         2.05159      0.00142486         2.01506
     -11         2.25744      0.00156441         2.21241
     -10          2.4693      0.00170718         2.41431
      -9         2.70327      0.00186493         2.63741
      -8         2.95994      0.00202923         2.86976
      -7          3.2161      0.00219631         3.10605
      -6         3.47179      0.00236376         3.34287
      -5          3.7265      0.00252004         3.56388
      -4         3.96778      0.00267166         3.77829
      -3         4.19176        0.002811         3.97535
      -2         4.35959      0.00291407         4.12112
      -1         4.42005      0.00294563         4.16575
       0         4.51515      0.00301027         4.25717
       1         4.48532      0.00298828         4.22606
       2         4.36371       0.0029124         4.11875
       3         4.19794      0.00282097         3.98945
       4         3.96762      0.00267851         3.78798
       5         3.74457      0.00253711         3.58801
       6         3.47987      0.00236165         3.33988
       7         3.21619       0.0021977         3.10802
       8         2.95874      0.00202534         2.86427
       9         2.71079      0.00186774         2.64138
      10         2.46862      0.00170612         2.41281
      11         2.25911      0.00157036         2.22082
      12         2.04868      0.00142579         2.01637
      13         1.87585       0.0013082         1.85007
      14         1.70711      0.00119271         1.68675
      15         1.56743      0.00109781         1.55254
      16         1.42778      0.00100096         1.41557
      17         1.31296     0.000921048         1.30256
