   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.524997         14.0927      0.0123699        12.3699         6749.72       0.356846        356.845        0.682236      0.0647879        64.7879
    init        0.525177         13.4038      0.0118393        11.8393          6749.3       0.355427        355.427       -0.250977      0.0645883        64.5882
    init        0.525227          13.692      0.0120446        12.0446         6753.36       0.353337        353.337       -0.378881      0.0648259        64.8259
    init        0.525242         13.5624      0.0118988        11.8988         6752.66       0.354259        354.259         2.12024      0.0650591        65.0591
    init        0.525257         13.5043      0.0120256        12.0256         6752.01        0.35235         352.35        0.135286      0.0654666        65.4666
  accept         0.49977         13.6254       0.011922         11.922         6745.25       0.352167        352.167       -0.836882      0.0648608        64.8608
  accept        0.499928         14.3516      0.0123755        12.3755         6742.04       0.354704        354.703       0.0830649      0.0648786        64.8786
       1        0.499996         13.9732      0.0122113        12.2113         6747.09       0.357418        357.418        0.556318      0.0647471         64.747
       2         0.50026         14.0322      0.0124066        12.4066         6751.61       0.356041        356.041        0.615207      0.0646203        64.6203
       3         0.49976         13.8379      0.0119091        11.9091         6745.14       0.354763        354.763         1.33784      0.0650105        65.0105
       4        0.500194         14.0111      0.0122942        12.2942         6749.62       0.355344        355.344       -0.523209      0.0648999        64.8998
       5        0.500013         14.0946      0.0121729        12.1729          6741.9       0.350798        350.798       0.0464146      0.0641726        64.1726
       6        0.499706         13.7735      0.0120814        12.0814          6749.7       0.354774        354.774        -1.83343       0.065207         65.207
       7        0.500219         13.5511      0.0118192        11.8192         6742.66       0.354647        354.647        0.729758       0.065117        65.1169
       8        0.499899         13.7511      0.0121025        12.1025         6751.97       0.356391         356.39        -1.06195      0.0650357        65.0357
   total        0.500203         13.8775      0.0085747        12.1265         6747.44        0.25107        355.067      -0.0216048      0.0458686        64.8679

    mode      occupation             +/-         std dev
      -8         1.58542      0.00112478         1.59068
      -7         2.01336      0.00142075         2.00925
      -6         2.59032      0.00183169         2.59041
      -5         3.46408      0.00243313         3.44097
      -4         4.76696      0.00332847         4.70716
      -3         6.66576      0.00459508         6.49842
      -2          9.5188      0.00633853         8.96404
      -1         12.4854      0.00787919         11.1428
       0         13.8775       0.0085747         12.1265
       1         12.4339      0.00790481         11.1791
       2         9.47935       0.0062694         8.86626
       3         6.68306      0.00456382         6.45422
       4         4.78261      0.00334452         4.72986
       5         3.46248      0.00244544         3.45838
       6         2.60592       0.0018411         2.60371
       7           1.995      0.00140938         1.99317
       8         1.59006      0.00112815         1.59544
