   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.500222         17.8229      0.0149614        14.9614         6887.34       0.426039        426.039       -0.364542      0.0658846        65.8846
    init        0.500188         19.1984      0.0156858        15.6858         6873.64       0.425379        425.379        0.835368      0.0647592        64.7592
    init        0.500139         18.1627      0.0147352        14.7351         6889.43       0.418709        418.709        -1.27839      0.0649159        64.9159
    init        0.500254         17.9538      0.0150414        15.0414         6880.69       0.425906        425.906         2.52029       0.064568         64.568
    init        0.500275         17.9853      0.0149124        14.9124         6889.21       0.428338        428.337        -3.27843      0.0661307        66.1306
    init        0.500326         19.5385      0.0153131        15.3131          6881.5       0.430279        430.279        -2.05554      0.0652957        65.2956
    init        0.500263         17.4015      0.0147015        14.7015         6881.56        0.42654         426.54         2.10403      0.0660597        66.0596
    init        0.500203         18.5212      0.0152768        15.2768          6883.5       0.425227        425.227         2.91254      0.0662501        66.2501
    init        0.500182         18.2896      0.0151411        15.1411         6879.75       0.427398        427.397         1.27724      0.0647485        64.7484
    init        0.500197         17.6495      0.0145159        14.5159         6881.98       0.424439        424.439        0.466055      0.0653536        65.3536
    init        0.500294         18.0353      0.0149421        14.9421         6883.82       0.419212        419.212         2.37743      0.0635721         63.572
    init         0.50021         18.9168      0.0155759        15.5759         6874.38       0.424565        424.564         1.99902      0.0660063        66.0063
    init        0.500255         18.8751      0.0151207        15.1207          6872.9       0.420913        420.912         1.46317      0.0647571        64.7571
    init        0.500254         18.4287      0.0151672        15.1672         6876.32       0.423979        423.979         1.87819      0.0663886        66.3885
    init        0.500265         17.6854       0.014681         14.681         6893.15       0.423258        423.258         0.52047      0.0662861         66.286
    init        0.500252         19.4258      0.0155765        15.5765         6876.62       0.424442        424.441         1.90927      0.0642483        64.2483
    init        0.500206         17.8609      0.0149614        14.9614            6896       0.427634        427.634         2.66155      0.0664387        66.4387
    init        0.500192         17.8372      0.0150096        15.0096         6878.87       0.422379        422.379        -3.62126      0.0653309        65.3309
    init        0.500227         18.9056      0.0152696        15.2696         6870.05       0.423241        423.241        -2.19214      0.0656216        65.6216
    init        0.500155         18.1169      0.0149525        14.9525         6876.24        0.42328         423.28        -2.37106      0.0656279        65.6278
    init        0.500194         18.5263      0.0151583        15.1583         6882.64       0.424958        424.958        0.902744      0.0635443        63.5443
    init        0.500278         18.5636      0.0148356        14.8356         6878.87       0.421902        421.901        0.493306      0.0650338        65.0338
    init        0.500172         18.6382       0.015369         15.369         6865.67       0.428413        428.413        -1.54809      0.0658933        65.8932
    init        0.500271         17.9142      0.0151024        15.1023         6875.12       0.422926        422.925        -3.78263      0.0638531        63.8531
    init        0.500263         18.0343       0.015006         15.006         6883.51        0.42754         427.54         1.80874      0.0658142        65.8142
    init        0.500276         18.3219      0.0147307        14.7307         6879.23       0.425912        425.912         2.65134      0.0647116        64.7116
    init        0.500256         18.1773      0.0147463        14.7463         6880.69       0.424201        424.201         2.63819      0.0663319        66.3319
    init        0.500193         17.9557      0.0151353        15.1353         6887.16       0.426955        426.955         2.18101      0.0654913        65.4912
    init        0.500252         18.7197      0.0153671        15.3671         6861.51       0.424312        424.312         1.59067      0.0648542        64.8541
    init         0.50025         19.3438      0.0153036        15.3036         6881.33       0.426764        426.764         1.54856      0.0641365        64.1365
    init        0.500155         17.8774      0.0153284        15.3284         6891.47       0.429246        429.246       -0.102174      0.0657839        65.7839
       1        0.500071         17.3864      0.0147714        14.7714         6886.25       0.423988        423.988         1.15726      0.0643878        64.3877
       2        0.500048         18.8963      0.0156955        15.6955         6866.94       0.419979        419.979       -0.421951      0.0626682        62.6681
       3        0.499968         18.3523      0.0150254        15.0254         6878.06       0.428625        428.625        -1.05729      0.0650409        65.0409
       4        0.499985           18.21      0.0152167        15.2167         6879.71       0.423578        423.578          1.4791      0.0641124        64.1124
       5        0.500027         18.1411      0.0147344        14.7343         6895.89       0.430315        430.315       -0.699185      0.0656555        65.6554
       6        0.499868         19.0195      0.0152448        15.2447         6876.46       0.425233        425.233        -1.05411      0.0642354        64.2354
       7        0.500121         17.9499      0.0153763        15.3763         6870.85       0.425126        425.126         2.99316      0.0654685        65.4685
       8        0.500015         19.0827      0.0158962        15.8962         6871.77       0.427119        427.118       -0.496021      0.0631332        63.1331
   total        0.500077         18.3803      0.0107907        15.2604         6878.21       0.300972        425.639        0.238634      0.0455081        64.3582
