   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0        0.510849         9.08075      0.0322403        8.25345         9069.73        2.72103        696.578        -4.69876       0.343185        87.8548
       1        0.501434         9.03615      0.0326945        8.36973         9072.91          2.736        700.411        -11.5525       0.320028        81.9266
       2        0.499725         10.5971      0.0370726        9.49052         9114.19        2.79882        716.491          3.7529       0.319243        81.7257
       3        0.500137         9.73849      0.0352584        9.02609          9114.6        2.83562        725.914        0.998098       0.337699        86.4503
       4        0.499466         10.3732      0.0352985        9.03634         9098.06        2.78616        713.253         3.34656       0.322148        82.4693
       5        0.500763         9.20087      0.0314518         8.0516         9118.45        2.75776        705.982         5.63894       0.342471        87.6719
       6        0.499496         8.90966      0.0314696        8.05617         9134.36        2.72502          697.6         2.20543          0.336        86.0152
       7        0.500626          10.288      0.0335617        8.59172         9128.42        2.71583        695.247        -1.98035       0.329911        84.4565
       8        0.498993          8.9768      0.0326615        8.36128         9094.51        2.79508        715.535        -3.17001       0.344454        88.1796
   total        0.500176         9.57723      0.0224448        8.61877          9104.9        1.84328        707.819       -0.624899       0.222293        85.3603
