   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.519464         10.0899     0.00897298        8.97298         8066.24       0.537001        537.001         1.75731       0.078369         78.369
    init        0.519531           9.622     0.00869293        8.69292         8069.83       0.541906        541.906        0.958901      0.0790316        79.0315
    init        0.519424         9.99263     0.00903288        9.03288         8054.57       0.537499        537.499       -0.289567      0.0780346        78.0346
    init        0.519448         9.73282     0.00878666        8.78665         8071.94       0.540055        540.054        0.105894       0.078083        78.0829
  accept        0.499991         10.1328     0.00909807        9.09806         8064.69       0.542452        542.451       -0.253561      0.0789058        78.9058
  accept        0.500173          9.9562      0.0090137         9.0137         8060.35       0.543159        543.159      -0.0707877      0.0784739        78.4739
       1        0.499909         9.86569     0.00874329        8.74328         8071.72       0.541152        541.152       -0.640612       0.078611         78.611
       2        0.499893         9.82852      0.0088693         8.8693         8068.53       0.531361        531.361        0.958251      0.0792513        79.2513
       3        0.500407         10.0519     0.00911994        9.11994          8067.5        0.53962         539.62       -0.176192      0.0792964        79.2964
       4        0.499473         10.1641     0.00909804        9.09804         8051.86       0.538055        538.055        -0.96381      0.0784043        78.4042
       5        0.500219          10.033     0.00899591         8.9959         8054.91       0.537968        537.968       -0.292874      0.0780441        78.0441
       6        0.500085         10.0025     0.00894807        8.94806         8058.92       0.538201        538.201        0.936198      0.0781937        78.1937
       7        0.499772         10.0601     0.00904485        9.04484         8060.82        0.53944        539.439         0.34952      0.0788913        78.8913
       8        0.500028         10.0604     0.00904419        9.04419         8066.31        0.53625         536.25        -0.05865      0.0786394        78.6393
   total        0.500064         10.0086     0.00635296        8.98444         8062.59       0.380226         537.72       0.0119939      0.0556263        78.6675

    mode      occupation             +/-         std dev
     -10         1.49936       0.0010617         1.50147
      -9         1.78925      0.00126301         1.78617
      -8         2.17416      0.00153042         2.16434
      -7         2.65306      0.00186731         2.64077
      -6         3.27466      0.00229262         3.24225
      -5         4.17604      0.00291046         4.11601
      -4         5.29478      0.00362197         5.12223
      -3         6.64602       0.0044883         6.34741
      -2         8.13666      0.00536402         7.58587
      -1         9.29912      0.00600011         8.48544
       0         10.0086      0.00635296         8.98444
       1         9.45067      0.00606034         8.57062
       2            8.09      0.00533907         7.55059
       3         6.68429      0.00451121         6.37981
       4         5.25638      0.00360625         5.10001
       5         4.16141      0.00290659         4.11054
       6         3.29905      0.00230814          3.2642
       7         2.65303      0.00186755         2.64112
       8         2.16787      0.00153272          2.1676
       9         1.78905      0.00126259         1.78557
      10         1.49654      0.00105632         1.49386
