   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.521793         8.26449     0.00760169        7.60168         8722.55       0.616434        616.433         1.33449      0.0849499        84.9499
    init        0.521815         8.32939     0.00761913        7.61912         8724.64       0.614184        614.184        -1.84217      0.0849997        84.9997
    init        0.521806         8.45335     0.00777573        7.77573         8722.16       0.618058        618.058       -0.231806      0.0853976        85.3975
  accept        0.499911         8.39023     0.00776495        7.76495         8729.48       0.620164        620.164        0.779041      0.0852248        85.2248
  accept        0.499706         8.53182     0.00775273        7.75272         8721.96       0.611693        611.692       -0.912251      0.0851058        85.1058
  accept        0.500498         8.50366     0.00779977        7.79977         8718.87       0.613271        613.271      -0.0758515      0.0848694        84.8694
       1        0.499896         8.42017     0.00776698        7.76698          8726.1       0.617773        617.773      -0.0887342      0.0847899        84.7898
       2        0.499401         8.63148     0.00788015        7.88015         8717.69       0.614616        614.616       -0.984714      0.0842793        84.2792
       3        0.500642         8.51536     0.00784015        7.84014         8715.29        0.61444        614.439       0.0580711      0.0840516        84.0516
       4        0.499869         8.34464     0.00756685        7.56684         8720.13        0.61166         611.66        0.107167      0.0847408        84.7408
       5        0.500035         8.52626     0.00786934        7.86934         8719.86       0.620717        620.717         1.04103      0.0842712        84.2712
       6         0.49973         8.50948     0.00778041         7.7804         8719.63       0.613146        613.145       0.0402585       0.083874         83.874
       7        0.500412         8.62611     0.00777218        7.77217         8728.91       0.614758        614.757        0.548019       0.084421        84.4209
       8        0.499965          8.6201     0.00785928        7.85928         8724.65        0.61694         616.94        0.985876      0.0844907        84.4907
   total        0.500359         8.52364     0.00551032        7.79276         8721.62       0.435275        615.571        0.221716      0.0596607        84.3729

    mode      occupation             +/-         std dev
     -11         1.49741      0.00105599         1.49339
     -10         1.75084      0.00123439         1.74569
      -9         2.06711      0.00145673         2.06013
      -8         2.46057      0.00173022          2.4469
      -7         2.95222      0.00205924          2.9122
      -6         3.55465      0.00246146         3.48103
      -5         4.35858      0.00301298           4.261
      -4         5.30698       0.0036174         5.11577
      -3         6.31699      0.00424672         6.00576
      -2         7.28176      0.00480173         6.79067
      -1         8.12433      0.00528298         7.47126
       0         8.52364      0.00551032         7.79276
       1         8.15148      0.00530555         7.50318
       2         7.36779      0.00482612         6.82516
       3         6.34281      0.00425109         6.01195
       4         5.27727      0.00360628         5.10005
       5         4.38771      0.00301708         4.26679
       6         3.56885      0.00248888          3.5198
       7         2.94349       0.0020617         2.91569
       8         2.45997      0.00173236         2.44992
       9          2.0694      0.00145797         2.06188
      10          1.7392      0.00122774         1.73629
      11         1.49694      0.00105531         1.49244
