   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.523231         7.37564     0.00684077        6.84076         9411.64       0.700859        700.859      -0.0975869      0.0912952        91.2952
  accept        0.500411         7.36151     0.00688033        6.88033         9415.94       0.693071        693.071       -0.589915      0.0908038        90.8038
  accept        0.499825           7.307      0.0067712         6.7712         9420.01       0.695628        695.628        0.622725      0.0905258        90.5258
  accept        0.499761         7.39142     0.00687581         6.8758         9420.58       0.693631        693.631        0.719768       0.091004        91.0039
  accept        0.500176         7.29821     0.00669887        6.69887         9410.18       0.690784        690.784       -0.393167       0.091221         91.221
  accept        0.499966         7.58161     0.00697877        6.97877         9403.34       0.694043        694.043       -0.518608      0.0909384        90.9384
  accept        0.500023         7.31778     0.00670523        6.70523         9419.23       0.691985        691.984       -0.683782      0.0901643        90.1642
  accept        0.499877         7.20441     0.00663833        6.63832         9413.15       0.692655        692.655        0.821237      0.0909137        90.9137
  accept        0.500068         7.31305     0.00673371         6.7337         9418.91       0.698879        698.879         0.46439      0.0907863        90.7863
  accept        0.499937         7.24611      0.0066446        6.64459         9422.16       0.692136        692.136       -0.163214      0.0912081        91.2081
       1        0.499919         7.49496     0.00688982        6.88982         9405.43       0.691399        691.398        -1.66579      0.0906645        90.6644
       2        0.499939         7.28159     0.00674179        6.74178         9418.77       0.694661         694.66        -0.15271      0.0910612        91.0612
       3        0.500046         7.38854     0.00681955        6.81955         9415.91       0.692334        692.333        0.322554      0.0910746        91.0746
       4        0.500387          7.3412     0.00682077        6.82077         9423.85       0.693056        693.056       -0.530069      0.0910679        91.0678
       5        0.499472         7.26789     0.00685378        6.85377         9407.48       0.694867        694.867        -0.80103      0.0909588        90.9588
       6        0.500232         7.37982     0.00686404        6.86403         9413.43        0.69239         692.39        0.049023       0.090741         90.741
       7        0.499748         7.32398     0.00677509        6.77509         9412.47       0.699858        699.858          0.6856      0.0912477        91.2477
       8        0.500072         7.29701     0.00665969        6.65968         9424.77       0.697729        697.729        0.712746      0.0914988        91.4988
   total        0.500208          7.3465     0.00481053        6.80311         9415.24       0.491116        694.543        -0.15861      0.0643824        91.0504

    mode      occupation             +/-         std dev
     -12         1.47294      0.00103556          1.4645
     -11         1.69835      0.00119484         1.68976
     -10         1.96435       0.0013821         1.95459
      -9         2.28858      0.00159877           2.261
      -8         2.68209      0.00187638         2.65361
      -7         3.16225      0.00220007         3.11137
      -6         3.75007      0.00259778         3.67381
      -5         4.42863      0.00304579          4.3074
      -4          5.1391      0.00349518         4.94293
      -3         5.95447      0.00399152         5.64487
      -2         6.63777       0.0044088         6.23499
      -1         7.15425      0.00470796         6.65806
       0          7.3465      0.00481053         6.80311
       1         7.15918      0.00469026         6.63302
       2         6.66286      0.00443149         6.26707
       3         5.94418      0.00399648         5.65188
       4         5.13368      0.00348396         4.92706
       5         4.41084      0.00301662         4.26615
       6         3.74861      0.00258888         3.66122
       7         3.15744      0.00219815         3.10865
       8         2.68496       0.0018715          2.6467
       9         2.28558      0.00160183         2.26532
      10         1.96571      0.00138035         1.95211
      11         1.69331      0.00119516         1.69021
      12         1.47429      0.00104082         1.47194
