   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.524497         6.59623     0.00611536        6.11535         10140.9       0.772777        772.776         -0.2814      0.0968561        96.8561
  accept        0.500118         6.55829     0.00603709        6.03709           10143       0.772347        772.346       -0.596634      0.0971527        97.1526
  accept        0.499978         6.45979     0.00604056        6.04055           10139       0.777615        777.614        0.526668      0.0969623        96.9623
  accept        0.499992         6.53517     0.00610003        6.10003         10149.1       0.773408        773.407       -0.828834      0.0964946        96.4946
  accept         0.49997         6.55327     0.00607257        6.07257         10148.4       0.768545        768.544        0.461517      0.0971458        97.1457
  accept        0.500219          6.5409     0.00611177        6.11176         10151.4       0.776705        776.704        0.136323      0.0969043        96.9042
       1        0.500091         6.51287     0.00604781         6.0478         10136.5       0.767266        767.265       -0.917401      0.0966127        96.6127
       2        0.499536          6.4515     0.00599944        5.99943         10142.3       0.782389        782.388         1.37161      0.0964261         96.426
       3        0.500135         6.56105     0.00604507        6.04507         10147.1       0.775016        775.015       -0.210416      0.0965375        96.5375
       4         0.50006         6.53854     0.00612515        6.12514         10140.9        0.77903        779.029       -0.719796      0.0964703        96.4703
       5         0.50004         6.53561     0.00604738        6.04737           10144       0.780278        780.278       -0.342085      0.0965003        96.5003
       6        0.499895         6.46072     0.00605632        6.05631         10151.2       0.781133        781.133        0.199774      0.0968771        96.8771
       7        0.500192         6.59795     0.00614189        6.14189         10145.4       0.777546        777.546       -0.517631      0.0964484        96.4484
       8        0.499937         6.44152     0.00591271        5.91271         10151.6       0.773136        773.135       -0.584096      0.0975827        97.5827
   total        0.500397         6.51285     0.00427683        6.04836           10145       0.549403        776.973       -0.195451      0.0683717        96.6922

    mode      occupation             +/-         std dev
     -13         1.44654       0.0010205          1.4432
     -12         1.64594      0.00115734         1.63672
     -11         1.87033      0.00131499         1.85967
     -10         2.14104      0.00149919         2.12018
      -9         2.45651      0.00171612         2.42696
      -8         2.84215      0.00196881         2.78432
      -7         3.28816      0.00227672         3.21977
      -6         3.77203      0.00259096         3.66417
      -5         4.33023      0.00296136         4.18799
      -4         4.96101      0.00335807         4.74903
      -3         5.52153      0.00370708         5.24261
      -2         6.05923      0.00402768           5.696
      -1         6.42186      0.00423555         5.98997
       0         6.51285      0.00427683         6.04836
       1         6.40628      0.00422015          5.9682
       2         6.06751      0.00402238          5.6885
       3         5.55099      0.00372709          5.2709
       4         4.94812      0.00335988         4.75159
       5         4.31851       0.0029523         4.17517
       6         3.76895      0.00259018         3.66307
       7          3.2718       0.0022736         3.21536
       8          2.8348      0.00197991         2.80002
       9         2.46413      0.00172124          2.4342
      10         2.13679      0.00149721         2.11737
      11         1.87681      0.00131525         1.86004
      12         1.64058      0.00115681         1.63598
      13         1.44532      0.00101616         1.43707
