   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init          0.5256         5.78448     0.00541387        5.41387         10917.4       0.865327        865.326       -0.350077       0.102083        102.083
    init        0.525924         5.94466     0.00562292        5.62291         10917.7       0.860287        860.287          0.7787       0.102912        102.912
    init        0.525583         5.85002     0.00545568        5.45568         10908.6       0.863979        863.978       -0.597796       0.102545        102.545
    init        0.525356         5.95204     0.00556815        5.56815         10912.7       0.861607        861.607       -0.177306       0.102254        102.254
  accept        0.500405         5.82743     0.00548112        5.48111         10915.5       0.867253        867.253        0.503258       0.102416        102.416
  accept        0.499563         5.86938     0.00548623        5.48623         10917.9       0.855446        855.446       -0.366686       0.102442        102.442
  accept        0.500331         5.92025     0.00554442        5.54442         10920.9       0.865618        865.617      -0.0511086       0.102302        102.302
       1        0.499956         5.86401     0.00546152        5.46152         10913.1       0.856103        856.103       -0.285507       0.102859        102.859
       2        0.500092         5.87786     0.00546547        5.46547         10919.7       0.864979        864.979        0.341277       0.102578        102.578
       3        0.499824         5.87363     0.00551426        5.51426         10921.4       0.860416        860.416     -0.00171476       0.102624        102.624
       4         0.50016         5.84953     0.00548699        5.48699         10921.7       0.857576        857.576       -0.434729       0.103154        103.154
       5        0.499796         5.86125     0.00551052        5.51052         10917.4       0.862128        862.128       -0.514476       0.102397        102.397
       6        0.499824         5.82304      0.0054309         5.4309         10919.3       0.867276        867.276       -0.311814       0.102744        102.744
       7        0.500117          5.8584     0.00554028        5.54028           10909       0.861794        861.794        0.226007       0.102269        102.269
       8        0.500382          5.8889     0.00552747        5.52747         10924.7       0.861627        861.626       0.0558443        0.10289         102.89
   total        0.499748          5.8625     0.00388448        5.49348         10918.3       0.609192        861.527       -0.105996      0.0726086        102.684

    mode      occupation             +/-         std dev
     -14         1.41892     0.000999306         1.41323
     -13         1.58438       0.0011104         1.57035
     -12         1.78416      0.00125272         1.77161
     -11         2.00985      0.00140759         1.99064
     -10         2.28491      0.00159209         2.25155
      -9         2.58375      0.00180138         2.54753
      -8         2.93135      0.00202755         2.86738
      -7         3.31859      0.00228193         3.22713
      -6         3.77502       0.0025925         3.66635
      -5         4.23176      0.00287658          4.0681
      -4         4.68346      0.00316528         4.47638
      -3         5.16859      0.00347286         4.91137
      -2         5.55014        0.003696         5.22693
      -1         5.76574      0.00383124         5.41819
       0          5.8625      0.00388448         5.49348
       1         5.76217      0.00382078          5.4034
       2         5.49007      0.00364948         5.16115
       3         5.18381      0.00347067         4.90826
       4         4.69323      0.00317299         4.48728
       5         4.22702      0.00288121         4.07465
       6         3.76675      0.00257721         3.64473
       7         3.33257       0.0023005         3.25339
       8         2.94123      0.00203779         2.88187
       9         2.58134      0.00179259          2.5351
      10         2.27328      0.00159089         2.24985
      11         2.01573      0.00141027         1.99442
      12         1.77862      0.00124796         1.76489
      13         1.58349      0.00111163         1.57209
      14         1.41756     0.000998452         1.41202
