   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.525934         5.33456     0.00495877        4.95877         11740.4       0.948044        948.043        0.952892        0.10777         107.77
    init        0.526274         5.29452     0.00500529        5.00529         11731.9       0.960197        960.196         0.56058       0.108165        108.165
    init        0.526627         5.32982     0.00503055        5.03055         11738.2       0.956153        956.152       -0.160417       0.108115        108.115
  accept         0.49969         5.28869     0.00501871        5.01871         11743.2       0.955104        955.104        0.592043        0.10786         107.86
  accept        0.499864          5.3263     0.00502304        5.02304         11743.1       0.948348        948.347       0.0899657       0.108121        108.121
       1        0.499729         5.36136     0.00502186        5.02185         11728.4       0.955411        955.411       -0.292978       0.108095        108.095
       2        0.500429         5.29435     0.00504644        5.04644           11738       0.959139        959.138        0.244227       0.108142        108.142
       3        0.499887         5.28025     0.00495896        4.95895         11722.7       0.954477        954.476        0.108782       0.107707        107.707
       4         0.50006         5.25513     0.00496883        4.96882           11740       0.948528        948.527       -0.179688       0.108358        108.358
       5        0.500101         5.35446     0.00502596        5.02596         11737.7        0.95572        955.719      -0.0511758        0.10841         108.41
       6        0.500097          5.3609      0.0049974        4.99739         11740.6       0.951452        951.452       -0.131861       0.108537        108.537
       7         0.50001         5.36384     0.00508659        5.08658         11743.4        0.95625        956.249        0.768826       0.108505        108.505
       8        0.499853         5.30334     0.00497687        4.97687         11742.2       0.953957        953.957        0.314112       0.108117        108.117
   total        0.499897         5.32084     0.00354235        5.00963         11736.7       0.674827         954.35       0.0947899      0.0765366        108.239

    mode      occupation             +/-         std dev
     -15          1.3832     0.000972492         1.37531
     -14         1.53202      0.00107639         1.52224
     -13         1.70816      0.00120096         1.69842
     -12         1.90572      0.00133371         1.88615
     -11         2.12041      0.00147903         2.09166
     -10         2.36929      0.00164757         2.33002
      -9         2.66066      0.00184816         2.61369
      -8         2.98016      0.00205564         2.90711
      -7         3.32096      0.00228723         3.23463
      -6         3.68989      0.00252033         3.56428
      -5         4.08075      0.00277059          3.9182
      -4          4.4586      0.00301207         4.25971
      -3         4.77026       0.0032036         4.53058
      -2         5.10313      0.00340012          4.8085
      -1         5.26697      0.00350348         4.95466
       0         5.32084      0.00354235         5.00963
       1         5.25678       0.0035065         4.95894
       2         5.04474      0.00337348         4.77082
       3         4.80547      0.00322099         4.55516
       4         4.45621      0.00299769         4.23938
       5         4.07449      0.00276876         3.91561
       6         3.69814      0.00252067         3.56476
       7         3.33314      0.00229408         3.24431
       8         2.98058      0.00205758         2.90986
       9         2.65607      0.00184143         2.60418
      10         2.37175      0.00165024         2.33379
      11         2.12123      0.00148225         2.09621
      12         1.90219      0.00133032         1.88135
      13         1.70598      0.00119712         1.69298
      14         1.53934      0.00108241         1.53075
      15         1.38286     0.000973378         1.37656
