   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.526797         4.84896      0.0045847         4.5847         12598.1          1.046           1046       -0.218839       0.113395        113.395
  accept        0.499769         4.90691      0.0046423         4.6423         12601.2        1.04846        1048.46        0.924031       0.113413        113.413
  accept        0.500142         4.83917     0.00457077        4.57077         12608.2        1.05405        1054.05        0.911063       0.114065        114.065
  accept        0.499741          4.8967     0.00460887        4.60887           12607        1.04956        1049.56       -0.374308       0.113681         113.68
  accept        0.499546         4.95737     0.00469226        4.69225           12594        1.04974        1049.74        0.521871       0.113513        113.513
  accept        0.500367          4.9035      0.0046632        4.66319         12598.9        1.04421        1044.21        0.362321       0.113808        113.808
  accept        0.500371          4.8368     0.00454976        4.54976         12607.6        1.04751        1047.51        0.738264       0.113572        113.572
  accept        0.499926         4.89719     0.00466393        4.66393         12593.3        1.05344        1053.44         1.15738       0.114059        114.059
  accept        0.500042         4.87184     0.00459497        4.59496         12596.5        1.04101        1041.01      0.00666475       0.113397        113.397
       1        0.500178         4.86737     0.00457342        4.57342           12603        1.04781        1047.81       -0.761872       0.113198        113.198
       2        0.499632         4.96178     0.00465848        4.65847         12608.2        1.04766        1047.66        0.374823       0.113733        113.733
       3        0.500138         4.90304     0.00459836        4.59836         12601.9        1.04017        1040.17        -0.58222       0.113915        113.915
       4        0.499926         4.89327     0.00464843        4.64843         12603.3        1.05177        1051.77        0.313836       0.113589        113.589
       5        0.499879         4.96128     0.00468608        4.68608         12591.5        1.04268        1042.68        0.128233       0.112862        112.862
       6        0.500251         4.90939     0.00463793        4.63793         12608.8        1.05159        1051.59       -0.503009       0.113067        113.067
       7        0.499625         4.83831     0.00456992        4.56991         12593.2        1.04518        1045.18         1.26533       0.113817        113.817
       8        0.500149         4.86509     0.00460499        4.60499         12591.7        1.04535        1045.35         1.05086       0.114086        114.086
   total        0.499534             4.9     0.00326821        4.62194         12600.1       0.740171        1046.76        0.151701      0.0802825        113.537

    mode      occupation             +/-         std dev
     -16         1.34877     0.000948557         1.34146
     -15          1.4842      0.00104144         1.47282
     -14         1.63426      0.00114621         1.62099
     -13         1.80389      0.00126293         1.78606
     -12         1.98811      0.00138892         1.96424
     -11         2.20426      0.00153221         2.16688
     -10          2.4324      0.00168454         2.38229
      -9         2.68558      0.00185897         2.62898
      -8          2.9803      0.00205515         2.90642
      -7          3.2732      0.00224312         3.17225
      -6         3.59625      0.00245213         3.46784
      -5         3.90532      0.00265037         3.74818
      -4         4.22218      0.00285043         4.03112
      -3         4.46306      0.00300212         4.24564
      -2         4.71254       0.0031466         4.44996
      -1         4.81438      0.00321274          4.5435
       0             4.9      0.00326821         4.62194
       1         4.82657      0.00321671         4.54911
       2         4.67159      0.00311834            4.41
       3         4.48859      0.00301424         4.26278
       4         4.20443      0.00284338         4.02114
       5          3.9101      0.00265093         3.74897
       6          3.5826      0.00244141         3.45267
       7          3.2835      0.00225783         3.19305
       8         2.98544      0.00205508         2.90633
       9         2.69592      0.00186265         2.63419
      10         2.44077      0.00169503         2.39713
      11         2.20486      0.00153668         2.17319
      12         1.99104      0.00139375         1.97106
      13         1.79745      0.00125975         1.78155
      14         1.63192      0.00114205         1.61511
      15         1.48275       0.0010412         1.47248
      16         1.35379     0.000953141         1.34794
