   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.526704         4.53012     0.00430537        4.30537         13511.4        1.15081        1150.81       -0.633404       0.118804        118.804
    init        0.526752         4.47316     0.00424173        4.24173         13518.2        1.14848        1148.48       -0.295603       0.118513        118.513
  accept        0.499862         4.46539     0.00423287        4.23287         13516.1        1.14836        1148.36       -0.314915       0.118788        118.788
       1        0.500502         4.50329     0.00425876        4.25876           13547        1.15134        1151.34       -0.336169       0.119617        119.617
       2        0.499696         4.51472     0.00431752        4.31752         13523.6        1.14575        1145.75        -1.02717       0.118597        118.597
       3        0.500023          4.4769     0.00427567        4.27567           13528        1.15122        1151.22        0.705488       0.118873        118.873
       4        0.499861         4.49078     0.00426438        4.26438         13515.3        1.15234        1152.34       -0.684658       0.118414        118.414
       5        0.500125         4.50854     0.00428043        4.28043         13527.6        1.14508        1145.08       -0.209717       0.119255        119.255
       6        0.500103         4.46529     0.00420529        4.20529         13528.8        1.14669        1146.69       -0.206658       0.118791        118.791
       7        0.499666         4.43796     0.00422281        4.22281         13509.9          1.146           1146       -0.554763       0.118811        118.811
       8        0.500104         4.50388     0.00423775        4.23774         13520.7        1.14953        1149.53        0.124837       0.119337        119.337
   total        0.499878         4.48799     0.00301114         4.2584           13525       0.812111         1148.5       -0.282775      0.0841144        118.956

    mode      occupation             +/-         std dev
     -17         1.32401      0.00093334         1.31994
     -16         1.44112      0.00101081          1.4295
     -15         1.57463      0.00110145         1.55768
     -14         1.71356      0.00119644         1.69203
     -13         1.87485      0.00130911         1.85137
     -12         2.05875      0.00143426         2.02835
     -11         2.25538      0.00156731         2.21651
     -10         2.46926      0.00170871         2.41648
      -9         2.71163      0.00186865         2.64267
      -8         2.95435      0.00202886         2.86924
      -7         3.22075      0.00220382         3.11667
      -6         3.49071      0.00237414         3.35754
      -5         3.72892      0.00252841         3.57572
      -4         3.96287      0.00268449         3.79644
      -3         4.18859      0.00281915         3.98688
      -2         4.35842      0.00292284         4.13353
      -1         4.45057      0.00298104         4.21583
       0         4.48799      0.00301114          4.2584
       1         4.44485      0.00296585         4.19434
       2         4.35854      0.00293122         4.14537
       3         4.17546      0.00281571         3.98202
       4         3.96574      0.00268128          3.7919
       5         3.73136      0.00253064         3.57887
       6         3.47519      0.00236988         3.35152
       7         3.21384      0.00220339         3.11607
       8         2.94847      0.00202702         2.86663
       9          2.7062       0.0018667         2.63991
      10         2.47558      0.00171243         2.42174
      11         2.25622      0.00156979         2.22001
      12         2.06023      0.00143725         2.03258
      13         1.87861      0.00131279         1.85656
      14         1.71774      0.00120161         1.69934
      15         1.56795      0.00109952         1.55496
      16         1.43555      0.00100859         1.42636
      17         1.32211     0.000928461         1.31304
