   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.526463         4.13832      0.0039182         3.9182           14498        1.25839        1258.39       -0.101054       0.124424        124.423
  accept        0.499664         4.18866     0.00396243        3.96243         14485.5        1.25673        1256.73        0.605571       0.124494        124.494
  accept        0.500244         4.13151     0.00390304        3.90304         14502.1        1.25107        1251.07        0.815805       0.124434        124.434
  accept        0.500172         4.18096     0.00397822        3.97822         14489.4        1.25454        1254.54       -0.190957       0.124366        124.366
       1        0.500197         4.13747     0.00394866        3.94866         14503.7        1.25425        1254.25       -0.685891       0.124005        124.005
       2        0.499793         4.16708     0.00393782        3.93781         14501.8        1.25444        1254.44        0.340605       0.124608        124.608
       3        0.499816         4.19399     0.00397383        3.97383         14485.6        1.24751        1247.51         1.01644       0.124055        124.055
       4        0.500181         4.11669     0.00391883        3.91883         14503.8        1.25271        1252.71       -0.403108       0.124681        124.681
       5        0.500011         4.20971     0.00398585        3.98584         14493.6        1.25546        1255.46        -0.30014        0.12379         123.79
       6        0.499837         4.13359     0.00394274        3.94274         14499.5         1.2567        1256.69        0.293285       0.123939        123.939
       7        0.500369         4.18478     0.00396587        3.96587         14495.3        1.25701        1257.01        -0.34179       0.124993        124.993
       8        0.499819         4.12888     0.00389232        3.89232         14505.7        1.24374        1243.73       -0.592664       0.123985        123.985
   total          0.5002         4.15949     0.00279053         3.9464         14498.7       0.885804        1252.72       -0.107545      0.0878715        124.269

    mode      occupation             +/-         std dev
     -18          1.2864     0.000902639         1.27652
     -17         1.39473     0.000977113         1.38185
     -16          1.5112      0.00105788         1.49607
     -15         1.64026      0.00114875         1.62457
     -14         1.78238      0.00124461         1.76014
     -13         1.93719      0.00134891         1.90765
     -12         2.10732      0.00146495         2.07176
     -11         2.28177       0.0015833         2.23912
     -10         2.48537      0.00171733         2.42868
      -9         2.69242      0.00185173         2.61874
      -8         2.91172      0.00199748         2.82486
      -7         3.13482      0.00214386         3.03187
      -6         3.35646      0.00228446         3.23072
      -5         3.56548      0.00241646         3.41738
      -4         3.75883      0.00254124         3.59386
      -3         3.92359       0.0026482         3.74513
      -2         4.03277      0.00271111         3.83408
      -1         4.12021      0.00276542         3.91089
       0         4.15949      0.00279053          3.9464
       1         4.13515      0.00276976         3.91703
       2         4.02445      0.00270209         3.82133
       3         3.92488      0.00263042         3.71997
       4         3.75087      0.00253537         3.58556
       5         3.56112      0.00241829         3.41998
       6         3.35664      0.00228865         3.23663
       7         3.13674      0.00214053         3.02716
       8         2.91698      0.00200332         2.83312
       9         2.69632      0.00185353         2.62128
      10         2.48177      0.00171239         2.42168
      11         2.29076      0.00158633         2.24341
      12         2.09792      0.00145663         2.05998
      13         1.93112      0.00134732          1.9054
      14         1.77658      0.00124037         1.75415
      15         1.64066      0.00114758         1.62293
      16         1.51279      0.00105844         1.49686
      17         1.39439     0.000975899         1.38013
      18         1.28843     0.000903523         1.27777
