   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.525849         3.85833     0.00364056        3.64055         15517.8        1.35893        1358.93        -0.74344       0.129252        129.252
    init        0.525875         3.84953     0.00367014        3.67013         15512.7        1.35837        1358.37        -1.30893       0.128653        128.653
    init        0.526365         3.89734     0.00371772        3.71771         15536.6        1.35395        1353.95       -0.112577       0.129741        129.741
  accept        0.499638         3.89108     0.00368631        3.68631         15515.7        1.35956        1359.56       -0.519022       0.129253        129.253
  accept        0.500042         3.90992     0.00368569        3.68568         15520.2        1.36713        1367.13        -0.22563       0.129607        129.607
       1        0.500382         3.88324     0.00368187        3.68187         15525.5        1.36468        1364.68       -0.380241       0.129528        129.528
       2        0.499925         3.88623     0.00370335        3.70335         15525.6        1.36357        1363.57       -0.691478       0.129313        129.313
       3        0.499882         3.84855     0.00366441        3.66441         15522.1        1.36042        1360.42        0.214145        0.12922         129.22
       4        0.500031         3.84552     0.00365143        3.65143         15530.9         1.3599         1359.9       -0.481405       0.129314        129.314
       5        0.499708         3.87939     0.00370601        3.70601         15514.4         1.3669         1366.9       -0.325407       0.129148        129.148
       6        0.500073         3.93605     0.00375547        3.75547         15518.7        1.35633        1356.33       -0.418066       0.129004        129.004
       7        0.500309         3.85986     0.00366144        3.66144         15527.8        1.36222        1362.22       -0.340908       0.129266        129.266
       8        0.499548         3.86389     0.00367237        3.67237         15529.3        1.36623        1366.22        -1.55106       0.128789        128.789
   total        0.499862         3.87557     0.00260728        3.68725         15523.9       0.963283        1362.29       -0.485026      0.0913398        129.174

    mode      occupation             +/-         std dev
     -19         1.25726     0.000881711         1.24693
     -18         1.35302     0.000948684         1.34164
     -17         1.45791      0.00102174         1.44496
     -16         1.57315      0.00110057         1.55644
     -15         1.69473      0.00118362         1.67389
     -14         1.82975      0.00127503         1.80317
     -13         1.97658      0.00137432         1.94359
     -12         2.12991       0.0014815         2.09516
     -11         2.30361      0.00159295         2.25276
     -10         2.46735      0.00170141         2.40616
      -9         2.65761      0.00182783         2.58494
      -8         2.85414      0.00194979         2.75742
      -7           3.035      0.00206937         2.92653
      -6         3.21579       0.0021881         3.09445
      -5          3.4094      0.00231776          3.2778
      -4         3.54602      0.00239659          3.3893
      -3         3.69795      0.00249467         3.52799
      -2         3.76855      0.00252587         3.57212
      -1         3.83942      0.00258492         3.65563
       0         3.87557      0.00260728         3.68725
       1         3.86051       0.0025852         3.65603
       2         3.78929      0.00254846         3.60407
       3         3.68516      0.00248445         3.51354
       4         3.55966       0.0024085         3.40613
       5         3.39345      0.00229906         3.25136
       6         3.21568       0.0021825         3.08652
       7         3.03797      0.00207917         2.94039
       8         2.84745       0.0019535         2.76267
       9         2.64905      0.00182044         2.57448
      10         2.46867      0.00169935         2.40324
      11         2.30127      0.00159407         2.25435
      12         2.12842      0.00147498         2.08593
      13         1.97335      0.00136677          1.9329
      14         1.82461      0.00127247         1.79955
      15         1.69379      0.00118258         1.67242
      16         1.56964      0.00109831         1.55325
      17         1.45315      0.00101509         1.43555
      18         1.35295     0.000947228         1.33958
      19         1.25322     0.000881388         1.24647
