   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.525712         3.60107     0.00343939        3.43938         16600.7        1.48065        1480.65       -0.237636       0.134076        134.076
  accept        0.500097         3.63828     0.00347509        3.47509         16606.6        1.47474        1474.74         1.23514       0.134378        134.378
  accept        0.499671         3.59953     0.00341769        3.41769         16608.6        1.47645        1476.45       -0.462954       0.134119        134.119
  accept        0.500243         3.62226     0.00346708        3.46708         16616.4        1.47247        1472.47        0.664164       0.134605        134.605
  accept        0.500207         3.58944     0.00341398        3.41398         16623.5        1.47779        1477.79        -0.14505        0.13424         134.24
       1        0.500157         3.62299     0.00345458        3.45458         16613.1        1.47801        1478.01       0.0113652        0.13455        134.549
       2        0.499564         3.66633      0.0034795        3.47949         16600.2        1.47724        1477.24        0.111767       0.134161         134.16
       3         0.50004         3.61289     0.00339573        3.39573         16616.5        1.48198        1481.98      -0.0662225       0.133897        133.897
       4        0.500096          3.6003     0.00341112        3.41112           16616        1.48447        1484.46        -0.32006       0.134542        134.542
       5         0.49973         3.69747     0.00349089        3.49089         16608.6        1.48011        1480.11        0.169825       0.134409        134.409
       6        0.500286         3.63803     0.00343814        3.43814         16605.6        1.47509        1475.09       0.0968942       0.133898        133.898
       7        0.500066         3.61647     0.00345262        3.45262         16620.4        1.47697        1476.97        0.305758        0.13434         134.34
       8        0.499701         3.64051     0.00346651         3.4665           16597        1.47802        1478.02       0.0997364       0.133297        133.297
   total        0.499769         3.63662     0.00243816        3.44807         16610.2        1.04595        1479.19       0.0772436      0.0948499        134.138

    mode      occupation             +/-         std dev
     -20         1.22851      0.00086293         1.22037
     -19         1.31099     0.000918595         1.29909
     -18         1.40416     0.000982894         1.39002
     -17         1.50469       0.0010526          1.4886
     -16         1.61877      0.00113107         1.59958
     -15         1.73494      0.00120883         1.70954
     -14         1.86289      0.00129491         1.83127
     -13         2.00103      0.00138755         1.96229
     -12         2.13579      0.00148012         2.09321
     -11         2.28574      0.00157499         2.22737
     -10          2.4456      0.00167923          2.3748
      -9         2.61366      0.00179651         2.54065
      -8         2.77905      0.00190613         2.69567
      -7         2.93492      0.00200174         2.83089
      -6         3.09117      0.00210294           2.974
      -5         3.23219      0.00219275         3.10101
      -4         3.36774      0.00227358         3.21533
      -3         3.45823      0.00233775         3.30608
      -2         3.55575      0.00239651         3.38917
      -1         3.62179      0.00243982         3.45043
       0         3.63662      0.00243816         3.44807
       1         3.60495      0.00242858         3.43452
       2          3.5506      0.00239274         3.38384
       3         3.47204      0.00234989         3.32325
       4         3.37089      0.00228049         3.22509
       5         3.22988      0.00218102         3.08443
       6         3.09192      0.00209969          2.9694
       7         2.92043      0.00198936         2.81338
       8         2.77477      0.00189773          2.6838
       9         2.61025      0.00178947         2.53069
      10         2.45839      0.00169097          2.3914
      11         2.28593      0.00157851         2.23235
      12         2.13815      0.00148054          2.0938
      13          1.9933      0.00138317         1.95609
      14         1.85872      0.00129003         1.82437
      15         1.73726      0.00121009         1.71132
      16         1.62178      0.00113426         1.60409
      17         1.51003      0.00105716         1.49505
      18         1.40629     0.000985121         1.39317
      19         1.31297     0.000921244         1.30284
      20         1.22724     0.000862038         1.21911
