   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init          0.5249         3.40498       0.003257          3.257         17736.8        1.59533        1595.33        0.105613       0.138708        138.707
  accept        0.499926         3.40211     0.00322824        3.22823         17749.2        1.58958        1589.58      -0.0793852       0.138949        138.949
       1        0.500728         3.36326     0.00321474        3.21474         17777.1         1.6003         1600.3       -0.899157       0.139932        139.932
       2        0.499668         3.40982     0.00325412        3.25411         17749.2        1.59596        1595.96       0.0569013       0.139226        139.226
       3        0.500187         3.36092     0.00319238        3.19238         17754.5        1.59808        1598.08       0.0900528       0.139088        139.088
       4        0.499708         3.38939     0.00324299        3.24299         17758.3        1.60087        1600.87       -0.300169       0.138796        138.796
       5        0.500216         3.40131     0.00322477        3.22476         17754.6        1.60303        1603.03        0.975111       0.138868        138.868
       6          0.4997         3.39613     0.00322021        3.22021         17753.2         1.5945         1594.5        0.660428       0.139481         139.48
       7        0.500329         3.40864     0.00324577        3.24577         17753.5        1.60136        1601.36        0.278599        0.13938         139.38
       8        0.499898         3.37632      0.0032067         3.2067         17744.1        1.59199        1591.99      -0.0192847       0.139012        139.012
   total        0.500002         3.38874     0.00228069        3.22539         17755.7        1.13013        1598.25       0.0698211      0.0984534        139.234

    mode      occupation             +/-         std dev
     -21         1.20057     0.000841379         1.18989
     -20         1.27538     0.000894994         1.26571
     -19         1.35795     0.000951367         1.34544
     -18         1.45269      0.00101545         1.43607
     -17         1.54679      0.00107945         1.52657
     -16          1.6523      0.00115095         1.62769
     -15          1.7597      0.00122196         1.72811
     -14         1.87951      0.00130458         1.84495
     -13         2.00825      0.00139102          1.9672
     -12         2.13845      0.00147907         2.09173
     -11         2.26619      0.00155894         2.20467
     -10         2.40913      0.00165419         2.33937
      -9         2.55981      0.00175375         2.48017
      -8         2.69584      0.00184628         2.61104
      -7         2.83434      0.00192994         2.72935
      -6         2.96068      0.00201362         2.84769
      -5         3.08335      0.00209085          2.9569
      -4         3.19697       0.0021694           3.068
      -3         3.28056      0.00221953         3.13889
      -2         3.34656      0.00225782         3.19304
      -1         3.39467      0.00228962         3.23802
       0         3.38874      0.00228069         3.22539
       1         3.40432      0.00229211         3.24153
       2         3.34928      0.00226389         3.20162
       3         3.28382      0.00221869          3.1377
       4         3.19569      0.00215334         3.04528
       5         3.07897      0.00209155         2.95789
       6         2.96827      0.00201676         2.85213
       7         2.82806      0.00192569         2.72334
       8         2.69417      0.00184445         2.60845
       9         2.54745      0.00174823         2.47237
      10          2.4086      0.00165954         2.34694
      11         2.27416      0.00156618         2.21491
      12         2.13956      0.00148067         2.09398
      13         2.00424      0.00139039         1.96631
      14         1.88623      0.00130918         1.85146
      15         1.75945       0.0012246         1.73185
      16         1.65195      0.00115229         1.62958
      17         1.55058      0.00108251         1.53091
      18         1.45136      0.00101734         1.43873
      19         1.36014     0.000950821         1.34466
      20          1.2763     0.000895558         1.26651
      21         1.19895     0.000840819          1.1891
