   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.524756          3.1883     0.00305378        3.05378         18962.7        1.71662        1716.62       0.0315518       0.144081        144.081
  accept        0.499694         3.17487     0.00303362        3.03362         18947.9        1.73373        1733.73        0.438845       0.143712        143.712
  accept        0.499763         3.17928     0.00302841        3.02841         18952.1        1.72664        1726.64       -0.712951       0.143847        143.847
  accept        0.499822         3.19024     0.00306948        3.06948         18979.1        1.71798        1717.98       -0.133195       0.143989        143.989
       1        0.500684         3.19991     0.00301596        3.01596         18956.6        1.72473        1724.73        0.185794        0.14429         144.29
       2        0.499773         3.21605     0.00307702        3.07702         18960.6        1.71771        1717.71        0.287212       0.144665        144.665
       3        0.499687         3.24324     0.00308756        3.08756         18961.6        1.71731        1717.31        0.250428       0.144089        144.089
       4         0.50022         3.18525     0.00305372        3.05372         18955.5        1.72757        1727.57        0.920046       0.144124        144.124
       5        0.499903         3.20878       0.003074          3.074         18961.8        1.71562        1715.62       -0.261714       0.144013        144.013
       6        0.500151         3.21772     0.00307963        3.07963         18959.4        1.72479        1724.79       -0.642197        0.14422         144.22
       7        0.500028         3.20048      0.0030348         3.0348         18955.9        1.72138        1721.38        0.509681       0.143545        143.545
       8        0.499871         3.18764     0.00303511        3.03511         18956.8        1.72491        1724.91         1.25157       0.144445        144.445
   total        0.499957         3.20748      0.0021614        3.05668         18958.7         1.2175         1721.8        0.315941       0.101971        144.208

    mode      occupation             +/-         std dev
     -22          1.1701     0.000820775         1.16075
     -21         1.24032     0.000869349         1.22944
     -20         1.31843     0.000920719         1.30209
     -19         1.39892     0.000979136         1.38471
     -18          1.4849      0.00103686         1.46635
     -17         1.57763       0.0010998         1.55535
     -16         1.67737       0.0011666         1.64982
     -15         1.77577      0.00123324         1.74407
     -14         1.89075      0.00131043         1.85323
     -13         2.00288      0.00138585         1.95989
     -12         2.11884      0.00146384         2.07019
     -11         2.24797      0.00154819         2.18947
     -10         2.36204       0.0016217         2.29343
      -9         2.48327      0.00170296         2.40835
      -8         2.61724      0.00178918         2.53029
      -7         2.73074      0.00185959         2.62986
      -6          2.8435      0.00193147         2.73151
      -5          2.9484       0.0019994         2.82758
      -4         3.03306       0.0020574         2.90961
      -3         3.10719      0.00210229         2.97309
      -2         3.15758      0.00213365         3.01743
      -1         3.20226      0.00216021         3.05499
       0         3.20748       0.0021614         3.05668
       1         3.19467      0.00215518         3.04788
       2         3.15617       0.0021327         3.01609
       3         3.11156      0.00210726         2.98012
       4         3.04065      0.00205712         2.90921
       5         2.93144      0.00199355         2.81931
       6          2.8381      0.00192999         2.72942
       7         2.72902      0.00186435         2.63659
       8         2.61049      0.00178169         2.51969
       9         2.49628      0.00171033         2.41876
      10         2.37252      0.00162942         2.30434
      11         2.25326      0.00155074         2.19307
      12         2.12037      0.00146068         2.06571
      13         2.00994      0.00139019         1.96602
      14         1.89103      0.00131131         1.85447
      15         1.78107      0.00123763         1.75027
      16         1.67353        0.001165         1.64755
      17         1.57825      0.00109956         1.55502
      18         1.48683      0.00103741         1.46712
      19         1.40063      0.00097885          1.3843
      20         1.31547     0.000920172         1.30132
      21         1.24253     0.000869791         1.23007
      22         1.16959     0.000821784         1.16218
