   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.524034         3.02354     0.00287464        2.87464         20225.8        1.85134        1851.34       -0.364287       0.148425        148.425
  accept        0.499909         3.03726     0.00290121        2.90121         20223.9        1.84831        1848.31       -0.361251       0.148962        148.962
       1         0.49983         3.03646     0.00290356        2.90356         20218.3        1.85898        1858.97        0.750125       0.148592        148.592
       2        0.500412         3.01448     0.00289924        2.89924           20241        1.84939        1849.39        -0.34588       0.148922        148.922
       3        0.499772         3.02212      0.0028756         2.8756         20231.2        1.84744        1847.44       -0.294887       0.148273        148.273
       4        0.499827         3.00942     0.00287218        2.87217         20240.4        1.84531        1845.31        0.292666       0.148843        148.843
       5        0.499873          3.0212     0.00290085        2.90085         20226.2        1.84271         1842.7       -0.177679        0.14877         148.77
       6        0.500035         3.05194     0.00291485        2.91485         20227.8        1.85176        1851.76       -0.329305        0.14886        148.859
       7        0.499868          3.0351     0.00290725        2.90725         20215.9         1.8472         1847.2        -1.96842       0.148865        148.865
       8        0.500138         3.03555     0.00290501          2.905         20222.6        1.85372        1853.72       -0.668477       0.149011        149.011
   total        0.500252         3.02891     0.00204906         2.8978         20227.8        1.30797        1849.74       -0.311828       0.105181        148.748

    mode      occupation             +/-         std dev
     -23         1.14179      0.00080042         1.13196
     -22         1.20921     0.000846192          1.1967
     -21         1.27519     0.000892578          1.2623
     -20         1.34987     0.000942592         1.33303
     -19          1.4322     0.000999343         1.41328
     -18         1.51316      0.00105356         1.48996
     -17         1.60082      0.00111411         1.57558
     -16         1.69715      0.00117556         1.66249
     -15         1.78751       0.0012388         1.75193
     -14         1.88881      0.00130729         1.84878
     -13         1.99137      0.00137687         1.94719
     -12         2.10449      0.00144932         2.04965
     -11         2.20668      0.00151468         2.14208
     -10         2.31493      0.00158836         2.24628
      -9         2.42856       0.0016641          2.3534
      -8         2.53558      0.00173246         2.45007
      -7         2.62782      0.00179099         2.53284
      -6         2.73521      0.00186707         2.64044
      -5         2.81413      0.00191012         2.70131
      -4         2.89068      0.00195347         2.76263
      -3          2.9504      0.00199864          2.8265
      -2         2.99205      0.00202338          2.8615
      -1         3.02238      0.00204406         2.89074
       0         3.02891      0.00204906          2.8978
       1         3.02316      0.00204413         2.89084
       2         2.98533       0.0020218         2.85926
       3         2.94401      0.00199184         2.81689
       4         2.88961      0.00196121         2.77356
       5         2.81239      0.00191228         2.70438
       6         2.71819      0.00184919         2.61515
       7         2.62748      0.00179121         2.53316
       8         2.53745       0.0017332         2.45111
       9         2.42428      0.00165775         2.34441
      10         2.30957      0.00158566         2.24246
      11          2.2039      0.00151689          2.1452
      12         2.09525      0.00144649         2.04564
      13               2      0.00137689         1.94722
      14         1.88877      0.00130751          1.8491
      15         1.78952      0.00123803         1.75084
      16         1.69113      0.00117469         1.66127
      17         1.59699      0.00111252         1.57335
      18         1.51014      0.00105239         1.48831
      19         1.43069     0.000999821         1.41396
      20         1.35198     0.000945076         1.33654
      21         1.27512     0.000891415         1.26065
      22          1.2101     0.000848617         1.20012
      23         1.14606     0.000803768          1.1367
