   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.523219          2.8884      0.0027655         2.7655         21551.9        1.98152        1981.51       -0.504811        0.15338         153.38
    init        0.522892         2.87084     0.00275481        2.75481         21566.9        1.99138        1991.38         1.46792       0.153084        153.084
    init        0.523289          2.8435     0.00272979        2.72979         21566.8         1.9922         1992.2        -1.55597       0.153136        153.136
    init        0.523035         2.87422     0.00276018        2.76018         21557.2         1.9722         1972.2        0.394842       0.152831        152.831
  accept        0.500133         2.87356     0.00274507        2.74507           21548        1.98361         1983.6       -0.478517       0.153251        153.251
  accept         0.49974          2.8752     0.00273919        2.73919         21573.7        1.97865        1978.65       -0.287821       0.152596        152.596
       1        0.499686         2.88308     0.00274236        2.74236         21556.4        1.98318        1983.18        0.223496        0.15345         153.45
       2        0.500368         2.88083     0.00275688        2.75688         21568.8        1.98936        1989.36       -0.114317       0.153294        153.294
       3        0.500098         2.85258     0.00271383        2.71383         21559.8        1.98967        1989.67        0.377324       0.152412        152.412
       4        0.500082         2.90418     0.00278598        2.78598         21554.9        1.97917        1979.17        0.708982       0.152921        152.921
       5        0.499781         2.88979     0.00275821         2.7582         21542.7        1.97945        1979.45        0.862457       0.153189        153.188
       6        0.500391         2.84133     0.00272561        2.72561         21574.3        1.98215        1982.15       -0.380864        0.15298         152.98
       7        0.500042         2.85247     0.00274296        2.74295         21565.4        1.98578        1985.78        -1.22978       0.152905        152.905
       8        0.499466         2.87461     0.00274958        2.74958         21541.8        1.98117        1981.17       -0.452559       0.153218        153.218
   total        0.500063         2.87277     0.00194281        2.74754         21558.2        1.40303        1984.18       0.0154569       0.108206        153.027

    mode      occupation             +/-         std dev
     -24         1.12353     0.000787475         1.11366
     -23         1.17991     0.000825677         1.16768
     -22         1.23918     0.000868378         1.22807
     -21         1.30621     0.000912107         1.28991
     -20         1.37788     0.000959364         1.35675
     -19         1.45248      0.00101242         1.43178
     -18         1.53023      0.00106501         1.50614
     -17         1.61198      0.00112095         1.58526
     -16         1.69913       0.0011794         1.66793
     -15         1.78872      0.00123651         1.74869
     -14          1.8768      0.00129459         1.83083
     -13         1.97182      0.00135994         1.92325
     -12         2.06473      0.00142084         2.00938
     -11          2.1663      0.00148851         2.10507
     -10         2.26245      0.00155118          2.1937
      -9         2.35112       0.0016092         2.27575
      -8          2.4498      0.00167552         2.36954
      -7         2.53473      0.00172713         2.44253
      -6         2.62038      0.00178581         2.52552
      -5         2.68957      0.00182393         2.57942
      -4         2.75588      0.00186969         2.64414
      -3           2.806      0.00189589         2.68119
      -2         2.83662      0.00191883         2.71364
      -1         2.86748      0.00193783          2.7405
       0         2.87277      0.00194281         2.74754
       1         2.85426      0.00193358         2.73449
       2         2.83522      0.00191681         2.71077
       3         2.81514       0.0019025         2.69053
       4          2.7526      0.00186587         2.63873
       5         2.70121      0.00183449         2.59436
       6         2.61809      0.00178107         2.51882
       7         2.52957      0.00172448         2.43878
       8         2.45082      0.00167125         2.36351
       9          2.3598      0.00161685         2.28657
      10         2.26072      0.00154561         2.18582
      11         2.16011      0.00148327         2.09767
      12         2.07374      0.00142602          2.0167
      13         1.96765      0.00135965         1.92284
      14         1.87765      0.00129897         1.83702
      15          1.7885      0.00124059         1.75446
      16         1.69993      0.00117913         1.66754
      17         1.61022      0.00112006           1.584
      18         1.53309       0.0010673         1.50939
      19         1.45161      0.00101029         1.42877
      20         1.37793     0.000962678         1.36143
      21         1.31038     0.000916688         1.29639
      22         1.24275     0.000869947         1.23029
      23         1.17667     0.000823145          1.1641
      24         1.11666     0.000782612         1.10678
