   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.522061           2.764     0.00265601        2.65601         22936.4        2.11205        2112.05       -0.566037       0.157846        157.846
    init        0.522182         2.73003     0.00262239        2.62239           22958        2.12356        2123.56        0.514145       0.158111        158.111
    init        0.522428         2.72508     0.00261591        2.61591           22956        2.12827        2128.27         1.13732       0.157782        157.781
    init        0.522095          2.7315     0.00263162        2.63162         22958.4        2.12558        2125.58      -0.0393373       0.157381         157.38
  accept         0.50017         2.70902      0.0026008         2.6008         22963.8        2.10878        2108.78        0.292877       0.157816        157.816
       1        0.499885         2.71642     0.00259666        2.59665         22954.7        2.12709        2127.09        0.311412       0.157532        157.532
       2        0.500215         2.72407     0.00261888        2.61888         22966.1        2.12409        2124.09       -0.466583       0.158015        158.015
       3        0.499926          2.7315     0.00262196        2.62196         22981.4        2.12819        2128.19        -1.28253       0.158757        158.757
       4        0.499762         2.72555     0.00259221        2.59221         22956.1        2.12305        2123.05          0.3847       0.157929        157.929
       5        0.500281         2.73726     0.00261001        2.61001         22951.9        2.11733        2117.33        0.250489       0.157981        157.981
       6         0.49988         2.71434     0.00261257        2.61257         22966.7        2.13226        2132.26        0.628642       0.157308        157.308
       7        0.500509         2.70589     0.00259219        2.59219         22971.7         2.1322         2132.2       -0.556135       0.157482        157.482
       8        0.499515         2.71477      0.0026034        2.60339         22975.7        2.11242        2112.42        0.525998       0.157904        157.904
   total        0.500329         2.72088     0.00184214        2.60519         22965.9        1.50223        2124.47       0.0597639       0.111645        157.889

    mode      occupation             +/-         std dev
     -25         1.09556     0.000769022         1.08756
     -24         1.14908     0.000805278         1.13883
     -23         1.20782     0.000845121         1.19518
     -22         1.26985     0.000887453         1.25505
     -21         1.33442     0.000931891         1.31789
     -20         1.40145     0.000977234         1.38202
     -19         1.47324      0.00102471         1.44916
     -18         1.54168      0.00106997         1.51316
     -17         1.61811      0.00112154          1.5861
     -16         1.69838      0.00117697         1.66448
     -15         1.78227      0.00123307         1.74382
     -14         1.86337       0.0012864         1.81924
     -13         1.94769      0.00134577          1.9032
     -12          2.0367      0.00139928         1.97888
     -11         2.12044      0.00145266         2.05438
     -10         2.20443      0.00151117         2.13711
      -9         2.28553      0.00155967          2.2057
      -8         2.36597      0.00161608         2.28548
      -7         2.44232      0.00166697         2.35745
      -6         2.51196      0.00171019         2.41857
      -5         2.57174      0.00174838         2.47258
      -4         2.63361      0.00178822         2.52893
      -3         2.66365      0.00180506         2.55274
      -2         2.70643      0.00183456         2.59446
      -1         2.71131      0.00183848             2.6
       0         2.72088      0.00184214         2.60519
       1         2.71867      0.00184289         2.60624
       2         2.70059      0.00182775         2.58482
       3         2.66209      0.00181069          2.5607
       4         2.62843      0.00178686         2.52701
       5         2.57255      0.00174945          2.4741
       6         2.50823      0.00170422         2.41013
       7         2.44394      0.00166271         2.35143
       8         2.36829      0.00161726         2.28716
       9         2.28326      0.00156404         2.21188
      10         2.21054      0.00151674           2.145
      11         2.12352      0.00145557         2.05849
      12         2.03789      0.00140117         1.98155
      13         1.94966      0.00134582         1.90327
      14         1.86609      0.00128843         1.82211
      15         1.77666      0.00122881          1.7378
      16         1.70278      0.00117907         1.66745
      17         1.61947      0.00112288         1.58799
      18         1.54676      0.00107626         1.52206
      19          1.4696      0.00102146         1.44456
      20         1.39794      0.00097336         1.37654
      21          1.3305     0.000928336         1.31287
      22         1.27432      0.00089066         1.25958
      23         1.20759     0.000843355         1.19268
      24         1.14813      0.00080417         1.13727
      25         1.09462     0.000767229         1.08502
