   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init         0.52978         9.41196     0.00862093        8.62092            7806       0.491145        491.145        0.423059      0.0779771        77.9771
    init        0.529481         9.43414     0.00853373        8.53372         7798.69       0.489239        489.238       -0.457205      0.0783706        78.3706
    init        0.529778          9.4565     0.00848644        8.48644         7803.91       0.489301        489.301        0.923358      0.0780213        78.0213
    init        0.529484         9.59564      0.0088116        8.81159         7797.67       0.490788        490.788      -0.0303768      0.0779522        77.9522
  accept        0.499846         9.56195     0.00867843        8.67843          7805.4       0.492357        492.357       -0.134737      0.0782436        78.2436
       1        0.500323          9.6412      0.0087037        8.70369         7801.51        0.49113         491.13       -0.817711      0.0782005        78.2005
       2         0.49967         9.30064     0.00847598        8.47597         7801.67       0.489375        489.375       -0.717839      0.0781986        78.1986
       3        0.500057          9.3562     0.00847414        8.47413         7803.98       0.491363        491.362         1.27709      0.0778881         77.888
       4        0.499973         9.29692     0.00854159        8.54158         7802.69       0.485893        485.893     -0.00183067      0.0783451         78.345
       5         0.50017         9.53477     0.00859575        8.59574         7802.93       0.490586        490.586       -0.639223      0.0780731        78.0731
       6        0.500323         9.42998      0.0085503         8.5503         7811.92       0.495173        495.173        0.185734      0.0784451         78.445
       7        0.499927         9.33064     0.00838672        8.38672         7811.66       0.493927        493.926        0.259687      0.0782239        78.2239
       8        0.499694         9.45733     0.00863518        8.63518         7796.67       0.488846        488.845        0.149669      0.0779955        77.9954
   total        0.499847         9.41835      0.0060437        8.54709         7804.16       0.347095        490.866      -0.0447682      0.0552802         78.178

    mode      occupation             +/-         std dev
     -10         1.57209       0.0011112         1.57147
      -9         1.86821       0.0013179         1.86379
      -8         2.26638      0.00159306         2.25293
      -7         2.79098      0.00195315         2.76217
      -6         3.45118      0.00240605         3.40267
      -5         4.28879      0.00296155         4.18826
      -4          5.3695      0.00366092         5.17733
      -3         6.69662      0.00448155         6.33787
      -2         8.01299       0.0052648         7.44555
      -1         8.96924      0.00579961         8.20189
       0         9.41835       0.0060437         8.54709
       1         9.03026      0.00585644         8.28225
       2         7.98281       0.0052372         7.40652
       3         6.66664      0.00448594         6.34408
       4         5.36959      0.00366734         5.18641
       5         4.30263      0.00297541         4.20786
       6         3.45003      0.00241044         3.40887
       7         2.78209      0.00194945         2.75694
       8         2.26422      0.00158954         2.24795
       9         1.87796      0.00132145          1.8688
      10         1.56945      0.00110853          1.5677
