   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.531188         8.19829     0.00744989        7.44988         8386.32       0.560901        560.901       -0.210098      0.0842449        84.2449
  accept        0.499917         8.02292      0.0073281         7.3281         8388.17        0.56127         561.27       0.0761445       0.084604        84.6039
       1        0.499689         8.32873     0.00767005        7.67005         8382.18       0.554683        554.683        0.169386       0.083681         83.681
       2        0.500189         8.16777     0.00755332        7.55331         8389.52       0.561499        561.499       -0.604085      0.0843966        84.3965
       3        0.499862         8.30235     0.00755234        7.55233         8379.83       0.558687        558.687       -0.218446      0.0838858        83.8857
       4        0.500321         8.19577     0.00746522        7.46522         8375.53       0.559181         559.18        0.162416      0.0841018        84.1017
       5        0.499684         8.07268     0.00740024        7.40024         8386.14        0.56177         561.77        0.607978      0.0846059        84.6058
       6        0.500359         8.22038     0.00752344        7.52344         8389.86       0.562504        562.504        -0.68197      0.0842663        84.2663
       7        0.499887         8.17913     0.00750194        7.50194         8384.51       0.563394        563.394       -0.259825      0.0842712        84.2711
       8        0.499848         8.20608     0.00750326        7.50326         8387.73       0.563885        563.885        0.304105        0.08429          84.29
   total         0.50027         8.20961     0.00531897        7.52216         8384.42       0.396476        560.702      -0.0688508      0.0595304        84.1887

    mode      occupation             +/-         std dev
     -11           1.538      0.00108289         1.53143
     -10         1.79866       0.0012658          1.7901
      -9         2.11424      0.00148071         2.09405
      -8         2.52605      0.00176652         2.49824
      -7         3.02679      0.00210726         2.98011
      -6          3.6657      0.00252847         3.57579
      -5         4.43335      0.00303613         4.29373
      -4         5.31126      0.00359459         5.08352
      -3         6.32324      0.00422012         5.96816
      -2         7.25536      0.00479061         6.77494
      -1         7.93314      0.00517533         7.31902
       0         8.20961      0.00531897         7.52216
       1         7.89607      0.00515961          7.2968
       2          7.2436      0.00477519         6.75314
       3         6.29241      0.00420998          5.9538
       4         5.31952      0.00360984         5.10509
       5         4.43053      0.00303265         4.28882
       6         3.67883      0.00255268         3.61003
       7          3.0297      0.00210539         2.97747
       8         2.52219      0.00175961         2.48847
       9         2.12163      0.00148703         2.10298
      10          1.7964      0.00126385         1.78735
      11         1.53374      0.00107986         1.52715
