   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.532309         5.74901     0.00542668        5.42667         10414.1       0.811309        811.309       -0.716615       0.102339        102.339
    init        0.532488         5.85609     0.00539855        5.39855         10405.5        0.81094        810.939        0.801955       0.102399        102.399
    init        0.532254          5.8837     0.00545544        5.45544         10401.8        0.80752         807.52       0.0560693       0.101558        101.558
  accept        0.500319          5.8872     0.00551052        5.51052         10412.7       0.816048        816.048        0.746256       0.102327        102.327
  accept        0.499962         5.84829     0.00541622        5.41622         10416.4        0.80903         809.03        0.725791       0.102359        102.359
  accept        0.499883         5.82253     0.00538049        5.38048         10405.7       0.811469        811.468       0.0862208       0.102293        102.293
       1          0.5001         5.82087     0.00546104        5.46104         10410.2       0.806463        806.463       -0.277662       0.102704        102.704
       2        0.499817          5.8143     0.00541836        5.41836         10419.6       0.809896        809.895        0.291506       0.102343        102.343
       3        0.500121         5.83064     0.00548299        5.48299         10403.5       0.808663        808.662        0.120075       0.102293        102.293
       4        0.499964         5.77588     0.00544899        5.44899         10404.2       0.807791        807.791         0.76377       0.102547        102.547
       5        0.499669          5.8104     0.00543817        5.43817         10415.5       0.811743        811.743        0.955607       0.102276        102.276
       6        0.499987          5.8543     0.00548556        5.48555           10404       0.804515        804.515         0.33514        0.10238         102.38
       7        0.500229         5.81645     0.00540604        5.40604         10421.6       0.811188        811.187         0.29682       0.102127        102.127
       8        0.499743         5.79995     0.00538281         5.3828         10410.2       0.807934        807.933        0.222988       0.102633        102.633
   total         0.49986         5.81537     0.00384739        5.44103         10411.2        0.57177        808.604        0.333801       0.072404        102.395

    mode      occupation             +/-         std dev
     -14         1.42524      0.00100076         1.41528
     -13           1.589      0.00111498         1.57682
     -12         1.78678      0.00124944         1.76698
     -11         2.02149      0.00141597         2.00249
     -10         2.30191       0.0016032         2.26726
      -9         2.59774      0.00180336         2.55034
      -8         2.93705       0.0020322         2.87397
      -7         3.34276      0.00229616         3.24726
      -6         3.77226      0.00257766         3.64536
      -5          4.2493      0.00288062         4.07382
      -4         4.69675      0.00316376         4.47423
      -3          5.1296      0.00343583           4.859
      -2         5.49027      0.00365337         5.16664
      -1         5.72594      0.00377874         5.34395
       0         5.81537      0.00384739         5.44103
       1          5.7423      0.00380092         5.37531
       2         5.47442      0.00364159         5.14999
       3         5.14808      0.00343702         4.86067
       4         4.71227      0.00318195         4.49995
       5          4.2405      0.00287445         4.06509
       6         3.76715      0.00257644         3.64364
       7         3.34995      0.00230139         3.25465
       8         2.95187      0.00204042         2.88559
       9         2.59849      0.00180406         2.55132
      10         2.29313      0.00159884          2.2611
      11         2.02339       0.0014171         2.00409
      12         1.79599      0.00125835         1.77957
      13         1.59615      0.00112031         1.58436
      14         1.42482      0.00100283         1.41822
