   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.532147         5.30889     0.00493705        4.93705         11184.8       0.907424        907.423       -0.968607       0.107724        107.724
    init        0.532239         5.30884     0.00499644        4.99644         11180.4       0.903794        903.794       -0.526647       0.107407        107.407
    init        0.531682         5.35296     0.00500676        5.00676           11183       0.899112        899.112        0.164259       0.107641        107.641
  accept        0.500467          5.3219     0.00500022        5.00022           11190       0.902679        902.678       -0.345028       0.108097        108.097
  accept         0.49988         5.23182      0.0048951         4.8951         11195.7       0.905259        905.259        -1.10106       0.108603        108.603
  accept        0.499971         5.33149     0.00498375        4.98375         11187.7       0.903309        903.308        -1.73265       0.108427        108.427
  accept        0.499822         5.32932     0.00499977        4.99977         11180.4       0.895455        895.455       -0.749005       0.108472        108.472
  accept        0.500408         5.34163     0.00500993        5.00993         11174.8       0.906196        906.195        -0.13324       0.107896        107.896
       1        0.499837         5.30207     0.00495537        4.95536         11185.7       0.907483        907.483        0.109725       0.108523        108.523
       2        0.500255         5.27787     0.00495323        4.95323           11181       0.903163        903.162        -0.41983       0.108236        108.236
       3        0.499598         5.36073     0.00505057        5.05057         11175.4       0.899462        899.461       -0.272653        0.10806         108.06
       4        0.500293         5.25968     0.00492721        4.92721         11171.4       0.898071        898.071       -0.523202       0.107689        107.689
       5        0.500065         5.33032     0.00499869        4.99869         11180.6       0.902216        902.215        0.142548       0.108117        108.117
       6        0.499467         5.35428     0.00502263        5.02263         11180.4       0.900366        900.366       -0.418592       0.107697        107.697
       7        0.500243          5.2056     0.00488927        4.88926         11188.4       0.904149        904.149       -0.536561       0.108291        108.291
