   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.499232         52.2779     0.00813575        25.7275         5436.84      0.0449651        142.192       -0.282561      0.0118483        37.4676
    init        0.499314         48.5728     0.00862519        27.2753         5446.02      0.0457376        144.635         -8.2364      0.0141791        44.8381
    init        0.499296         54.8524     0.00795046        25.1416         5431.97      0.0447604        141.545        -1.40049      0.0109791        34.7191
    init        0.499347         55.4668     0.00762204         24.103         5430.42      0.0443147        140.135         1.76312     0.00940677        29.7468
    init        0.499306          49.465     0.00849276        26.8565         5445.01      0.0457571        144.697        -6.29021      0.0137338        43.4302
    init        0.499275         51.9639      0.0082619        26.1264         5438.71      0.0451725        142.848        0.153385      0.0125574        39.7101
    init        0.499371         55.5278     0.00769722        24.3408         5429.01       0.044372        140.317         2.10597      0.0100903        31.9082
    init        0.499365         51.6353     0.00823435        26.0393         5438.61      0.0450037        142.314        -1.33329      0.0126332        39.9497
    init        0.499297         56.5143     0.00736452        23.2887         5427.61      0.0440327        139.243          2.1106     0.00856397        27.0816
    init        0.499294         57.2354      0.0073211        23.1513         5426.87      0.0441834         139.72       -0.943166      0.0083984        26.5581
    init          0.4994         51.5996      0.0083848        26.5151         5439.27      0.0451438        142.757         3.04093       0.013002        41.1161
    init        0.499317         53.3842     0.00802999        25.3931          5436.3      0.0453309        143.349         1.25909      0.0116356         36.795
    init        0.499264         57.5514     0.00717225        22.6807         5426.05      0.0442205        139.837       -0.645652     0.00780588        24.6844
    init        0.499344         52.6668     0.00807159        25.5246         5437.69      0.0451757        142.858         6.66973       0.011496        36.3536
    init        0.499353         52.3318     0.00821427        25.9758         5437.47      0.0450147        142.349         3.16111      0.0122644        38.7836
    init        0.499337         53.1158     0.00804828        25.4509         5436.05      0.0448583        141.854         1.31087       0.011379        35.9837
    init        0.499313         50.9185      0.0083329        26.3509         5438.85      0.0448131        141.711         5.89305      0.0127674        40.3739
    init         0.49926         57.6684       0.007072        22.3636         5425.38      0.0438973        138.815        -1.99128      0.0068742        21.7381
    init        0.499368         51.9895     0.00824151        26.0619         5438.42      0.0452682         143.15       -0.837731      0.0125902        39.8137
    init          0.4993         56.5699     0.00747713        23.6448         5428.45       0.044286        140.045         4.26899     0.00892018        28.2081
    init        0.499376          55.125     0.00770084        24.3522         5431.18      0.0445923        141.013       -0.581712      0.0101937        32.2354
    init         0.49936         53.6658      0.0079352        25.0933         5434.26      0.0447865        141.627         7.37921      0.0109999        34.7847
    init        0.499286         53.4198     0.00803592        25.4118         5434.45      0.0447134        141.396        -2.59584      0.0113996        36.0487
    init        0.499398         53.5967     0.00807172         25.525         5434.54       0.044683          141.3         -2.4292      0.0110599        34.9745
    init        0.499322         52.7931     0.00809124        25.5867         5434.81      0.0448625        141.868         5.66034       0.011252        35.5819
    init         0.49935         52.9062     0.00816457        25.8186         5436.61      0.0450804        142.557        -10.8919      0.0116202        36.7463
    init        0.499349         53.0896     0.00814351         25.752         5435.08      0.0449913        142.275        -5.16224      0.0116197        36.7448
    init        0.499333         53.5546     0.00801781        25.3546         5435.09      0.0450351        142.413        -4.71253      0.0112355        35.5297
    init        0.499361         54.3244      0.0079659        25.1904         5432.67      0.0446738        141.271         2.38909      0.0109353        34.5805
    init        0.499327         55.0902     0.00763538        24.1452         5430.65      0.0445705        140.944        -2.57802     0.00953321        30.1466
    init        0.499282         55.3945     0.00773783        24.4692          5430.7      0.0444547        140.578      -0.0539228      0.0103173        32.6263
