   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.501258         4.34352     0.00409854        4.09854         15943.3        1.43701        1437.01         1.56679        0.12448         124.48
    init        0.501286         4.33842     0.00408519        4.08519         15956.7        1.44241         1442.4        0.345854       0.125496        125.496
       1        0.500013         4.32723     0.00414573        4.14573         15955.2        1.43618        1436.18        0.493527         0.1258          125.8
       2        0.500028         4.32379     0.00408105        4.08104         15954.2        1.43546        1435.46       -0.201907       0.125486        125.486
       3        0.499979         4.34563     0.00413739        4.13738         15935.2        1.44756        1447.56          0.8019       0.125046        125.046
       4        0.499935         4.38792     0.00421368        4.21367         15932.8        1.44287        1442.86         -0.8907       0.124605        124.605
       5        0.499986          4.3021     0.00411999        4.11999         15957.9        1.44557        1445.56       -0.925813       0.124703        124.703
       6        0.499952         4.27654     0.00407518        4.07517         15957.9        1.43671        1436.71         2.10117       0.125903        125.903
       7        0.500088         4.35932     0.00418015        4.18015         15949.5        1.43736        1437.36       -0.925003       0.125658        125.658
       8        0.499923          4.3198     0.00408799        4.08799         15935.2        1.44277        1442.77       -0.671093       0.124654        124.654
   total        0.500124          4.3304      0.0029211        4.13106         15946.8        1.01844         1440.3      -0.0168568      0.0885501        125.229
