   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0        0.502724         4.05766     0.00385855        3.85855         17117.7        1.56121        1561.21        0.905997       0.130292        130.292
       1        0.500089         3.98612     0.00381212        3.81211         17111.9        1.56278        1562.78         1.13064       0.129889        129.889
       2        0.499922         4.00975     0.00381393        3.81393         17098.8        1.55509        1555.09        0.275241        0.13027         130.27
       3        0.499949         4.05501     0.00385204        3.85204         17109.8        1.56385        1563.85        0.888233       0.129565        129.565
       4        0.499954         3.98445     0.00379484        3.79483         17120.9        1.55216        1552.16         1.01817       0.130271         130.27
       5        0.499926         4.01195     0.00379215        3.79215         17110.4         1.5555         1555.5        0.375614       0.129766        129.766
       6        0.500094         4.04624     0.00381906        3.81906           17138        1.54237        1542.37        -1.05741       0.130605        130.605
       7        0.500015         3.98612     0.00381587        3.81587         17122.3        1.55027        1550.27        0.355073       0.130314        130.314
       8        0.500111         4.06907     0.00386117        3.86117         17099.5        1.55447        1554.47       -0.266358        0.13012         130.12
   total        0.500522          4.0228     0.00254966        3.82449         17114.6        1.03696        1555.44        0.395999      0.0867624        130.144
