   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
       0        0.572876          21.752      0.0629578        16.1171         623.377       0.580438        148.591        0.829972       0.196562        50.3196
       1        0.498138         22.2098      0.0621925        15.9212         632.572       0.596652        152.742       -0.159742        0.19701        50.4342
       2        0.501617         21.4007      0.0590066        15.1056         641.993       0.594787        152.264       -0.179284          0.199        50.9437
       3        0.501205         20.5641      0.0597908        15.3063          638.85       0.591675        151.468        -2.35707       0.203305        52.0457
       4        0.497925         21.3806      0.0609511        15.6034         635.787       0.593973        152.056         0.58265       0.197927        50.6689
       5        0.501083         21.1099       0.059672        15.2759         636.261       0.582167        149.034        -3.16303       0.194341         49.751
       6        0.498657         22.4255      0.0612505          15.68         634.744       0.588367        150.621        -0.64026       0.193383        49.5056
       7        0.500427         20.4521      0.0604194        15.4673         632.999         0.5877         150.45         -0.2756       0.194483        49.7872
       8        0.500305         21.2329      0.0615679        15.7613         632.848       0.588251        150.591        0.403124       0.195244         49.982
   total        0.506646         21.3943      0.0406321        15.6027         634.471       0.393446        151.083       -0.527293        0.13123        50.3922
