   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init         0.50515         10.9008     0.00956232        9.56231         5437.36       0.533399        533.399        0.952557      0.0785678        78.5678
    init        0.505093         10.4582     0.00921586        9.21585         5433.51       0.531353        531.353         1.88305      0.0788504        78.8504
    init        0.505052         10.5198     0.00921789        9.21788         5431.69       0.532666        532.666        -1.78801       0.078511        78.5109
    init        0.505346          10.633     0.00946034        9.46033         5438.89       0.526479        526.479        0.667643      0.0783463        78.3463
    init        0.505235         10.9494     0.00961186        9.61186         5422.09       0.527851         527.85        -1.47892      0.0781035        78.1035
    init         0.50538         10.6636     0.00937028        9.37028         5428.06       0.528098        528.098        0.389276      0.0781631        78.1631
    init        0.504818         10.8513     0.00957247        9.57247         5429.57       0.528301        528.301         2.01307      0.0789789        78.9788
    init        0.505208         10.6702     0.00937771         9.3777         5439.74       0.530711        530.711       0.0779758      0.0786288        78.6288
  accept        0.499795         10.8752     0.00963416        9.63416         5431.72       0.535739        535.739         1.94422      0.0780969        78.0968
  accept        0.500298          10.575     0.00953548        9.53547         5438.96       0.535268        535.268      -0.0625283      0.0789004        78.9004
       1        0.499644         10.4791     0.00933413        9.33412         5442.07       0.532989        532.989       -0.291023      0.0786212        78.6211
       2         0.50015         10.3684     0.00927586        9.27585         5433.68       0.525132        525.131       -0.902966      0.0786638        78.6637
       3        0.500043         10.6089     0.00942696        9.42696         5430.38       0.528425        528.424       -0.324735      0.0788189        78.8188
       4        0.499789         10.5505     0.00935975        9.35975         5430.04        0.52786        527.859       0.0926041      0.0786393        78.6393
       5        0.500112          10.385     0.00932791        9.32791         5426.17       0.526785        526.785         1.69182      0.0779886        77.9886
       6        0.500182         10.6741     0.00945083        9.45082         5432.48       0.529388        529.388       -0.372829      0.0782789        78.2788
       7        0.499867         10.6174      0.0093993         9.3993         5436.51       0.532126        532.126       -0.288136       0.078844        78.8439
       8         0.50001         10.6611     0.00943653        9.43652         5430.63       0.528843        528.843        -0.18685      0.0787315        78.7315
   total        0.499746         10.5435       0.006631        9.37765          5432.7       0.374001        528.918      -0.0685782      0.0555574          78.57

    mode      occupation             +/-         std dev
     -10            1.37      0.00097267         1.37556
      -9         1.63881      0.00115916          1.6393
      -8         1.98353      0.00140024         1.98024
      -7          2.4598      0.00173443         2.45285
      -6         3.09156      0.00217772         3.07977
      -5         3.94882       0.0027605         3.90393
      -4         5.09456      0.00351203         4.96675
      -3         6.67146      0.00452244          6.3957
      -2          8.5341      0.00556187         7.86566
      -1         9.98425      0.00632981         8.95171
       0         10.5435        0.006631         9.37765
       1         9.95621      0.00630927         8.92265
       2         8.43423      0.00551607          7.8009
       3         6.63927      0.00447835         6.33334
       4         5.13606      0.00353403         4.99788
       5          3.9664      0.00277357         3.92242
       6         3.09964       0.0021751         3.07606
       7         2.46456      0.00173823         2.45823
       8         1.98064      0.00140447         1.98622
       9          1.6332      0.00115502         1.63345
      10         1.36937     0.000970121         1.37196
